"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-26",
"Time","12:28:20",
"Comment","",

"Meas. Place",,"1",,"2",,
"Type",,"Delay",,"Peak Peak",,
"Source 1",,"C2",,"C2",,
"Source 2",,"C1",,,,
"Unit",,s,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,
"Wave count",,3126,,3127,,
"Current",,-4.399520e-05,,3.263100e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,
"Min",,-4.408640e-05,,3.248500e+00,,
"Max",,-4.393920e-05,,3.299600e+00,,
"Mean",,-4.400260e-05,,3.268509e+00,,
"StdDev",,2.415360e-08,,8.227100e-03,,
"Time of first value",,,,,,
"Time of last value",,,,,,
"Long term Min",,-4.411360e-05,,3.241200e+00,,
"Long term Max",,-4.391040e-05,,3.299600e+00,,
"Long term Mean",,-4.400115e-05,,3.268502e+00,,
"Long term StdDev",,2.436480e-08,,8.402300e-03,,
"Long term start time",,,,,,
"Long term end Time",,,,,,


"Index","Time Offset","Value","Time Offset","Value",
1,,-4.400160e-05,,3.285000e+00,
2,,-4.401120e-05,,3.270400e+00,
3,,-4.402400e-05,,3.255800e+00,
4,,-4.398880e-05,,3.263100e+00,
5,,-4.398720e-05,,3.270400e+00,
6,,-4.394560e-05,,3.270400e+00,
7,,-4.400480e-05,,3.263100e+00,
8,,-4.398720e-05,,3.255800e+00,
9,,-4.403680e-05,,3.270400e+00,
10,,-4.397920e-05,,3.277700e+00,
11,,-4.399520e-05,,3.270400e+00,
12,,-4.399040e-05,,3.263100e+00,
13,,-4.406080e-05,,3.263100e+00,
14,,-4.398880e-05,,3.270400e+00,
15,,-4.403040e-05,,3.285000e+00,
16,,-4.402240e-05,,3.277700e+00,
17,,-4.401440e-05,,3.285000e+00,
18,,-4.397440e-05,,3.263100e+00,
19,,-4.398560e-05,,3.263100e+00,
20,,-4.398720e-05,,3.263100e+00,
21,,-4.397920e-05,,3.270400e+00,
22,,-4.398720e-05,,3.263100e+00,
23,,-4.399520e-05,,3.263100e+00,
24,,-4.399840e-05,,3.270400e+00,
25,,-4.400000e-05,,3.263100e+00,
26,,-4.400320e-05,,3.277700e+00,
27,,-4.397280e-05,,3.270400e+00,
28,,-4.399040e-05,,3.285000e+00,
29,,-4.396480e-05,,3.270400e+00,
