"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-26",
"Time","13:05:42",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Rise Time",,
"Source 1",,"C1",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,1440,,
"Current",,9.597200e-06,,
"Average No.",,1.000000e+03,,
"Min",,9.354800e-06,,
"Max",,9.930000e-06,,
"Mean",,9.652759e-06,,
"StdDev",,1.048832e-07,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,9.324000e-06,,
"Long term Max",,9.930000e-06,,
"Long term Mean",,9.652254e-06,,
"Long term StdDev",,1.049460e-07,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
1,,9.694000e-06,
2,,9.632400e-06,
3,,9.864000e-06,
4,,9.632800e-06,
5,,9.551600e-06,
6,,9.800800e-06,
7,,9.508000e-06,
8,,9.580000e-06,
9,,9.647600e-06,
10,,9.719600e-06,
11,,9.591200e-06,
12,,9.646400e-06,
13,,9.699200e-06,
14,,9.544400e-06,
15,,9.516800e-06,
16,,9.555200e-06,
17,,9.731200e-06,
18,,9.518800e-06,
19,,9.543600e-06,
20,,9.599600e-06,
21,,9.523600e-06,
22,,9.854800e-06,
23,,9.622400e-06,
24,,9.744000e-06,
25,,9.683200e-06,
26,,9.727600e-06,
27,,9.771600e-06,
28,,9.669600e-06,
29,,9.665600e-06,
30,,9.615600e-06,
31,,9.606400e-06,
32,,9.650000e-06,
33,,9.569200e-06,
34,,9.768800e-06,
35,,9.676000e-06,
36,,9.660400e-06,
37,,9.697600e-06,
38,,9.821600e-06,
39,,9.359200e-06,
40,,9.664800e-06,
41,,9.514400e-06,
42,,9.568800e-06,
43,,9.535600e-06,
44,,9.652400e-06,
45,,9.768000e-06,
46,,9.523600e-06,
47,,9.743200e-06,
48,,9.819600e-06,
49,,9.491600e-06,
50,,9.582800e-06,
51,,9.857200e-06,
52,,9.715600e-06,
53,,9.616400e-06,
54,,9.477600e-06,
55,,9.742800e-06,
56,,9.565600e-06,
57,,9.846400e-06,
58,,9.461200e-06,
59,,9.633600e-06,
60,,9.771600e-06,
61,,9.781200e-06,
62,,9.586400e-06,
63,,9.572800e-06,
64,,9.868000e-06,
65,,9.833200e-06,
66,,9.551200e-06,
67,,9.755200e-06,
68,,9.618400e-06,
69,,9.524400e-06,
70,,9.705200e-06,
71,,9.698400e-06,
72,,9.712800e-06,
73,,9.655200e-06,
74,,9.671600e-06,
75,,9.568400e-06,
76,,9.677600e-06,
77,,9.668800e-06,
78,,9.540000e-06,
79,,9.592000e-06,
80,,9.715600e-06,
81,,9.553200e-06,
82,,9.744400e-06,
83,,9.672400e-06,
84,,9.646800e-06,
85,,9.737200e-06,
86,,9.562000e-06,
87,,9.671200e-06,
88,,9.817200e-06,
89,,9.742000e-06,
90,,9.744000e-06,
91,,9.686800e-06,
92,,9.575200e-06,
93,,9.607200e-06,
94,,9.598400e-06,
95,,9.757200e-06,
96,,9.805600e-06,
97,,9.653200e-06,
98,,9.622400e-06,
99,,9.545600e-06,
100,,9.828000e-06,
101,,9.760000e-06,
102,,9.676000e-06,
103,,9.686400e-06,
104,,9.668000e-06,
105,,9.581600e-06,
106,,9.692000e-06,
107,,9.494400e-06,
108,,9.522800e-06,
109,,9.644400e-06,
110,,9.598400e-06,
111,,9.718400e-06,
112,,9.810000e-06,
113,,9.787200e-06,
114,,9.810000e-06,
115,,9.794400e-06,
116,,9.709600e-06,
117,,9.653600e-06,
118,,9.700000e-06,
119,,9.711200e-06,
120,,9.632400e-06,
121,,9.646800e-06,
122,,9.773200e-06,
123,,9.698400e-06,
124,,9.735200e-06,
125,,9.631200e-06,
126,,9.528400e-06,
127,,9.530400e-06,
128,,9.720000e-06,
129,,9.669600e-06,
130,,9.714400e-06,
131,,9.816000e-06,
132,,9.660800e-06,
133,,9.698000e-06,
134,,9.624400e-06,
135,,9.532800e-06,
136,,9.525600e-06,
