Vendor,Rohde&Schwarz,,,,,,,
Device/Mat.-No.,RTB2004 / 1333.1005k04,,,,,,,
Serial No.,110244,,,,,,,
Firmware Version,2.3,,,,,,,
Date,31/1/2023,,,,,,,
Time,17:56:12,,,,,,,
Comment,,,,,,,,
,,,,,,,,
Meas. Place,,1,,2,,3,,4
Type,,Amplitude,,Amplitude,,Frequency,,Phase
Source 1,,C1,,C2,,C1,,C1
Source 2,,,,,,,,C2
Unit,,V,,V,,Hz,,°
Upper Level [%],,9.00E+01,,9.00E+01,,9.00E+01,,9.00E+01
Middle Level [%],,5.00E+01,,5.00E+01,,5.00E+01,,5.00E+01
Lower Level [%],,1.00E+01,,1.00E+01,,1.00E+01,,1.00E+01
Wave count,,128817,,128817,,128817,,128817
Current,,2.07E+00,,1.73E+00,,2.63E+04,,9.33E+01
Average No.,,1.00E+03,,1.00E+03,,1.00E+03,,1.00E+03
Min,,1.82E+00,,5.88E-02,,1.04E+04,,-1.80E+02
Max,,3.55E+00,,1.89E+00,,1.46E+05,,1.81E+02
Mean,,2.29E+00,,1.18E+00,,7.90E+04,,5.06E+00
StdDev,,4.14E-01,,4.80E-01,,3.88E+04,,1.04E+02
Time of first value,,,,,,,,
Time of last value,,,,,,,,
Long term Min,,1.80E+00,,4.90E-02,,9.73E+03,,-1.85E+02
Long term Max,,3.56E+00,,1.90E+00,,1.46E+05,,1.86E+02
Long term Mean,,2.28E+00,,1.20E+00,,7.75E+04,,3.73E+00
Long term StdDev,,4.18E-01,,4.79E-01,,3.93E+04,,1.04E+02
Long term start time,,,,,,,,
Long term end Time,,,,,,,,
,,,,,,,,
,,,,,,,,
Index,Time Offset,Value,Time Offset,Value,Time Offset,Value,Time Offset,Value
1,,1.93E+00,,1.09E+00,,9.13E+04,,1.35E+02
2,,1.97E+00,,1.07E+00,,9.19E+04,,1.61E+02
3,,2.11E+00,,1.05E+00,,9.34E+04,,-1.34E+02
4,,2.20E+00,,1.03E+00,,9.48E+04,,-7.81E+01
5,,2.31E+00,,1.00E+00,,9.61E+04,,-2.31E+01
6,,2.41E+00,,9.75E-01,,9.75E+04,,2.91E+01
7,,2.44E+00,,9.65E-01,,9.90E+04,,8.68E+01
8,,2.51E+00,,9.36E-01,,9.97E+04,,1.16E+02
9,,2.61E+00,,9.07E-01,,1.01E+05,,1.71E+02
10,,2.53E+00,,8.92E-01,,1.02E+05,,-1.37E+02
11,,2.37E+00,,8.97E-01,,1.04E+05,,-8.05E+01
12,,2.48E+00,,8.62E-01,,1.05E+05,,-2.00E+01
13,,2.62E+00,,8.23E-01,,1.07E+05,,4.13E+01
14,,2.53E+00,,8.13E-01,,1.08E+05,,9.79E+01
15,,2.46E+00,,7.99E-01,,1.09E+05,,1.60E+02
16,,2.34E+00,,7.74E-01,,1.11E+05,,-1.40E+02
17,,2.12E+00,,7.69E-01,,1.12E+05,,-8.15E+01
18,,2.04E+00,,7.60E-01,,1.13E+05,,-1.62E+01
19,,1.97E+00,,7.25E-01,,1.15E+05,,5.88E+01
20,,2.10E+00,,6.91E-01,,1.16E+05,,1.34E+02
21,,2.26E+00,,6.57E-01,,1.18E+05,,-1.55E+02
22,,2.16E+00,,6.27E-01,,1.19E+05,,-7.92E+01
23,,2.44E+00,,5.64E-01,,1.20E+05,,-1.48E+01
24,,2.66E+00,,5.39E-01,,1.22E+05,,6.17E+01
25,,2.61E+00,,5.44E-01,,1.23E+05,,1.30E+02
26,,2.42E+00,,5.39E-01,,1.24E+05,,1.62E+02
27,,2.53E+00,,5.10E-01,,1.25E+05,,-1.17E+02
28,,2.76E+00,,4.56E-01,,1.26E+05,,-3.41E+01
29,,2.95E+00,,4.12E-01,,1.28E+05,,5.40E+01
30,,3.01E+00,,3.92E-01,,1.29E+05,,1.32E+02
31,,3.05E+00,,3.63E-01,,1.30E+05,,1.73E+02
