in s,C1 in V
-5.65110E-04,-1.46484E-03
-5.65106E-04,8.30078E-03
-5.65102E-04,1.31836E-02
-5.65098E-04,-1.46484E-03
-5.65094E-04,-6.34766E-03
-5.65090E-04,3.41797E-03
-5.65086E-04,-6.34766E-03
-5.65082E-04,8.30078E-03
-5.65078E-04,3.41797E-03
-5.65074E-04,-1.46484E-03
-5.65070E-04,-1.46484E-03
-5.65066E-04,3.41797E-03
-5.65062E-04,1.31836E-02
-5.65058E-04,1.31836E-02
-5.65054E-04,3.41797E-03
-5.65050E-04,1.31836E-02
-5.65046E-04,1.80664E-02
-5.65042E-04,8.30078E-03
-5.65038E-04,8.30078E-03
-5.65034E-04,3.41797E-03
-5.65030E-04,8.30078E-03
-5.65026E-04,8.30078E-03
-5.65022E-04,8.30078E-03
-5.65018E-04,-1.46484E-03
-5.65014E-04,-1.12305E-02
-5.65010E-04,-1.46484E-03
-5.65006E-04,-1.46484E-03
-5.65002E-04,8.30078E-03
-5.64998E-04,-6.34766E-03
-5.64994E-04,-1.12305E-02
-5.64990E-04,1.31836E-02
-5.64986E-04,-1.12305E-02
-5.64982E-04,-6.34766E-03
-5.64978E-04,1.80664E-02
-5.64974E-04,-1.46484E-03
-5.64970E-04,8.30078E-03
-5.64966E-04,1.31836E-02
-5.64962E-04,3.41797E-03
-5.64958E-04,-1.46484E-03
-5.64954E-04,8.30078E-03
-5.64950E-04,3.41797E-03
-5.64946E-04,-1.46484E-03
-5.64942E-04,-1.46484E-03
-5.64938E-04,-1.46484E-03
-5.64934E-04,3.41797E-03
-5.64930E-04,8.30078E-03
-5.64926E-04,1.31836E-02
-5.64922E-04,8.30078E-03
-5.64918E-04,8.30078E-03
-5.64914E-04,-6.34766E-03
-5.64910E-04,3.41797E-03
-5.64906E-04,-1.46484E-03
-5.64902E-04,1.31836E-02
-5.64898E-04,-6.34766E-03
-5.64894E-04,1.31836E-02
-5.64890E-04,-6.34766E-03
-5.64886E-04,1.31836E-02
-5.64882E-04,3.41797E-03
-5.64878E-04,3.41797E-03
-5.64874E-04,1.31836E-02
-5.64870E-04,3.41797E-03
-5.64866E-04,-1.46484E-03
-5.64862E-04,1.80664E-02
-5.64858E-04,-1.12305E-02
-5.64854E-04,8.30078E-03
-5.64850E-04,-1.46484E-03
-5.64846E-04,8.30078E-03
-5.64842E-04,-1.46484E-03
-5.64838E-04,8.30078E-03
-5.64834E-04,-1.46484E-03
-5.64830E-04,-1.46484E-03
-5.64826E-04,3.41797E-03
-5.64822E-04,-1.46484E-03
-5.64818E-04,-1.46484E-03
-5.64814E-04,-6.34766E-03
-5.64810E-04,8.30078E-03
-5.64806E-04,-1.46484E-03
-5.64802E-04,3.41797E-03
-5.64798E-04,1.31836E-02
-5.64794E-04,3.41797E-03
-5.64790E-04,-1.46484E-03
-5.64786E-04,3.41797E-03
-5.64782E-04,-1.46484E-03
-5.64778E-04,3.41797E-03
-5.64774E-04,1.80664E-02
-5.64770E-04,8.30078E-03
-5.64766E-04,-6.34766E-03
-5.64762E-04,-6.34766E-03
-5.64758E-04,1.31836E-02
-5.64754E-04,1.80664E-02
-5.64750E-04,8.30078E-03
-5.64746E-04,1.31836E-02
-5.64742E-04,-1.46484E-03
-5.64738E-04,3.41797E-03
-5.64734E-04,8.30078E-03
-5.64730E-04,-1.46484E-03
-5.64726E-04,3.41797E-03
-5.64722E-04,-6.34766E-03
-5.64718E-04,8.30078E-03
-5.64714E-04,1.31836E-02
-5.64710E-04,1.31836E-02
-5.64706E-04,1.31836E-02
-5.64702E-04,8.30078E-03
-5.64698E-04,1.31836E-02
-5.64694E-04,1.80664E-02
-5.64690E-04,8.30078E-03
-5.64686E-04,-1.46484E-03
-5.64682E-04,8.30078E-03
-5.64678E-04,1.80664E-02
-5.64674E-04,-1.46484E-03
-5.64670E-04,-1.46484E-03
-5.64666E-04,-1.46484E-03
-5.64662E-04,1.31836E-02
-5.64658E-04,8.30078E-03
-5.64654E-04,3.41797E-03
-5.64650E-04,-6.34766E-03
-5.64646E-04,1.80664E-02
-5.64642E-04,-6.34766E-03
-5.64638E-04,8.30078E-03
-5.64634E-04,-1.46484E-03
-5.64630E-04,3.41797E-03
-5.64626E-04,1.80664E-02
-5.64622E-04,1.31836E-02
-5.64618E-04,8.30078E-03
-5.64614E-04,-1.46484E-03
-5.64610E-04,3.41797E-03
-5.64606E-04,1.80664E-02
-5.64602E-04,-1.46484E-03
-5.64598E-04,3.41797E-03
-5.64594E-04,1.80664E-02
-5.64590E-04,8.30078E-03
-5.64586E-04,3.41797E-03
-5.64582E-04,2.29492E-02
-5.64578E-04,-1.46484E-03
-5.64574E-04,1.31836E-02
-5.64570E-04,8.30078E-03
-5.64566E-04,-6.34766E-03
-5.64562E-04,8.30078E-03
-5.64558E-04,8.30078E-03
-5.64554E-04,8.30078E-03
-5.64550E-04,8.30078E-03
-5.64546E-04,-1.46484E-03
-5.64542E-04,3.41797E-03
-5.64538E-04,8.30078E-03
-5.64534E-04,8.30078E-03
-5.64530E-04,-6.34766E-03
-5.64526E-04,8.30078E-03
-5.64522E-04,8.30078E-03
-5.64518E-04,-1.46484E-03
-5.64514E-04,3.41797E-03
-5.64510E-04,1.31836E-02
-5.64506E-04,8.30078E-03
-5.64502E-04,3.41797E-03
-5.64498E-04,-1.46484E-03
