"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-23",
"Time","16:47:50",
"Comment","",

"Meas. Place",,"1",,"2",,
"Type",,"Delay",,"Peak Peak",,
"Source 1",,"C2",,"C2",,
"Source 2",,"C1",,,,
"Unit",,s,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,
"Wave count",,2043,,2043,,
"Current",,2.712400e-05,,3.420200e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,
"Min",,2.690400e-05,,3.395700e+00,,
"Max",,2.727600e-05,,3.454500e+00,,
"Mean",,2.711512e-05,,3.415545e+00,,
"StdDev",,5.867600e-08,,5.786900e-03,,
"Time of first value",,,,,,
"Time of last value",,,,,,
"Long term Min",,2.686000e-05,,3.395700e+00,,
"Long term Max",,2.734000e-05,,3.479000e+00,,
"Long term Mean",,2.711346e-05,,3.417838e+00,,
"Long term StdDev",,6.141600e-08,,8.540700e-03,,
"Long term start time",,,,,,
"Long term end Time",,,,,,


"Index","Time Offset","Value","Time Offset","Value",
1,,2.704800e-05,,3.425100e+00,
2,,2.719200e-05,,3.415300e+00,
3,,2.714800e-05,,3.415300e+00,
4,,2.711200e-05,,3.415300e+00,
5,,2.713200e-05,,3.410400e+00,
6,,2.709600e-05,,3.420200e+00,
7,,2.709200e-05,,3.415300e+00,
8,,2.702400e-05,,3.415300e+00,
9,,2.711600e-05,,3.415300e+00,
10,,2.704400e-05,,3.410400e+00,
11,,2.697600e-05,,3.410400e+00,
12,,2.712800e-05,,3.420200e+00,
13,,2.720400e-05,,3.420200e+00,
14,,2.712000e-05,,3.415300e+00,
15,,2.707200e-05,,3.410400e+00,
16,,2.713200e-05,,3.415300e+00,
17,,2.710000e-05,,3.430000e+00,
18,,2.708400e-05,,3.420200e+00,
19,,2.718400e-05,,3.415300e+00,
20,,2.705200e-05,,3.410400e+00,
21,,2.712800e-05,,3.420200e+00,
22,,2.709200e-05,,3.420200e+00,
23,,2.704400e-05,,3.415300e+00,
24,,2.713200e-05,,3.410400e+00,
25,,2.702800e-05,,3.415300e+00,
26,,2.710800e-05,,3.410400e+00,
27,,2.707600e-05,,3.415300e+00,
28,,2.713200e-05,,3.415300e+00,
29,,2.719600e-05,,3.410400e+00,
30,,2.715200e-05,,3.410400e+00,
31,,2.712800e-05,,3.415300e+00,
32,,2.714400e-05,,3.420200e+00,
33,,2.718000e-05,,3.410400e+00,
