"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-23",
"Time","17:00:59",
"Comment","",

"Meas. Place",,"1",,"2",,
"Type",,"Delay",,"Peak Peak",,
"Source 1",,"C2",,"C2",,
"Source 2",,"C1",,,,
"Unit",,s,,,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,
"Wave count",,1459,,1459,,
"Current",,-7.364400e-05,,nan,,
"Average No.",,1.000000e+03,,1.000000e+03,,
"Min",,-7.372800e-05,,nan,,
"Max",,-7.358400e-05,,nan,,
"Mean",,-7.364553e-05,,nan,,
"StdDev",,2.077200e-08,,nan,,
"Time of first value",,,,,,
"Time of last value",,,,,,
"Long term Min",,-7.372800e-05,,nan,,
"Long term Max",,-7.358400e-05,,nan,,
"Long term Mean",,-7.364544e-05,,nan,,
"Long term StdDev",,2.075200e-08,,nan,,
"Long term start time",,,,,,
"Long term end Time",,,,,,


"Index","Time Offset","Value","Time Offset","Value",
1,,-7.365600e-05,,1.700000e+308,
2,,-7.364000e-05,,1.700000e+308,
3,,-7.364400e-05,,1.700000e+308,
4,,-7.365600e-05,,1.700000e+308,
5,,-7.364800e-05,,1.700000e+308,
6,,-7.360400e-05,,1.700000e+308,
7,,-7.362800e-05,,1.700000e+308,
8,,-7.361200e-05,,1.700000e+308,
9,,-7.363600e-05,,1.700000e+308,
10,,-7.368000e-05,,1.700000e+308,
11,,-7.362000e-05,,1.700000e+308,
12,,-7.360800e-05,,1.700000e+308,
13,,-7.364800e-05,,1.700000e+308,
14,,-7.367600e-05,,1.700000e+308,
15,,-7.363200e-05,,1.700000e+308,
16,,-7.367200e-05,,1.700000e+308,
17,,-7.363200e-05,,1.700000e+308,
18,,-7.367600e-05,,1.700000e+308,
19,,-7.361600e-05,,1.700000e+308,
20,,-7.366800e-05,,1.700000e+308,
21,,-7.364000e-05,,1.700000e+308,
22,,-7.363600e-05,,1.700000e+308,
23,,-7.366000e-05,,1.700000e+308,
24,,-7.363200e-05,,1.700000e+308,
25,,-7.364800e-05,,1.700000e+308,
26,,-7.367200e-05,,1.700000e+308,
27,,-7.363600e-05,,1.700000e+308,
28,,-7.363600e-05,,1.700000e+308,
29,,-7.366800e-05,,1.700000e+308,
30,,-7.367600e-05,,1.700000e+308,
31,,-7.363600e-05,,1.700000e+308,
32,,-7.366400e-05,,1.700000e+308,
33,,-7.362400e-05,,1.700000e+308,
34,,-7.362400e-05,,1.700000e+308,
35,,-7.364000e-05,,1.700000e+308,
36,,-7.364800e-05,,1.700000e+308,
37,,-7.372800e-05,,1.700000e+308,
38,,-7.362800e-05,,1.700000e+308,
39,,-7.364000e-05,,1.700000e+308,
40,,-7.368000e-05,,1.700000e+308,
41,,-7.364800e-05,,1.700000e+308,
42,,-7.362800e-05,,1.700000e+308,
43,,-7.361600e-05,,1.700000e+308,
44,,-7.363200e-05,,1.700000e+308,
45,,-7.362400e-05,,1.700000e+308,
46,,-7.364400e-05,,1.700000e+308,
47,,-7.362800e-05,,1.700000e+308,
48,,-7.367200e-05,,1.700000e+308,
49,,-7.363600e-05,,1.700000e+308,
50,,-7.363200e-05,,1.700000e+308,
51,,-7.363600e-05,,1.700000e+308,
52,,-7.368800e-05,,1.700000e+308,
53,,-7.367600e-05,,1.700000e+308,
54,,-7.369600e-05,,1.700000e+308,
55,,-7.364000e-05,,1.700000e+308,
56,,-7.366800e-05,,1.700000e+308,
57,,-7.364000e-05,,1.700000e+308,
58,,-7.366400e-05,,1.700000e+308,
59,,-7.361200e-05,,1.700000e+308,
60,,-7.363600e-05,,1.700000e+308,
61,,-7.366000e-05,,1.700000e+308,
62,,-7.362800e-05,,1.700000e+308,
63,,-7.361200e-05,,1.700000e+308,
64,,-7.370000e-05,,1.700000e+308,
65,,-7.364400e-05,,1.700000e+308,
66,,-7.366000e-05,,1.700000e+308,
67,,-7.366400e-05,,1.700000e+308,
68,,-7.364400e-05,,1.700000e+308,
69,,-7.364400e-05,,1.700000e+308,
70,,-7.367200e-05,,1.700000e+308,
71,,-7.364800e-05,,1.700000e+308,
72,,-7.363200e-05,,1.700000e+308,
73,,-7.361200e-05,,1.700000e+308,
74,,-7.365600e-05,,1.700000e+308,
75,,-7.368400e-05,,1.700000e+308,
76,,-7.366400e-05,,1.700000e+308,
77,,-7.364000e-05,,1.700000e+308,
78,,-7.363200e-05,,1.700000e+308,
79,,-7.366400e-05,,1.700000e+308,
80,,-7.368000e-05,,1.700000e+308,
81,,-7.368000e-05,,1.700000e+308,
82,,-7.363200e-05,,1.700000e+308,
83,,-7.364400e-05,,1.700000e+308,
84,,-7.362400e-05,,1.700000e+308,
85,,-7.361600e-05,,1.700000e+308,
86,,-7.364000e-05,,1.700000e+308,
87,,-7.364000e-05,,1.700000e+308,
88,,-7.363600e-05,,1.700000e+308,
89,,-7.366000e-05,,1.700000e+308,
90,,-7.366400e-05,,1.700000e+308,
91,,-7.367600e-05,,1.700000e+308,
92,,-7.362400e-05,,1.700000e+308,
93,,-7.363600e-05,,1.700000e+308,
94,,-7.366400e-05,,1.700000e+308,
95,,-7.366400e-05,,1.700000e+308,
96,,-7.366000e-05,,1.700000e+308,
97,,-7.365200e-05,,1.700000e+308,
98,,-7.361600e-05,,1.700000e+308,
99,,-7.366800e-05,,1.700000e+308,
100,,-7.364800e-05,,1.700000e+308,
101,,-7.368000e-05,,1.700000e+308,
102,,-7.364000e-05,,1.700000e+308,
103,,-7.365600e-05,,1.700000e+308,
104,,-7.367200e-05,,1.700000e+308,
105,,-7.358800e-05,,1.700000e+308,
106,,-7.364400e-05,,1.700000e+308,
107,,-7.363200e-05,,1.700000e+308,
108,,-7.367600e-05,,1.700000e+308,
109,,-7.362000e-05,,1.700000e+308,
110,,-7.364400e-05,,1.700000e+308,
111,,-7.365200e-05,,1.700000e+308,
112,,-7.370800e-05,,1.700000e+308,
113,,-7.364400e-05,,1.700000e+308,
114,,-7.363200e-05,,1.700000e+308,
115,,-7.365600e-05,,1.700000e+308,
116,,-7.366000e-05,,1.700000e+308,
117,,-7.365200e-05,,1.700000e+308,
118,,-7.363200e-05,,1.700000e+308,
119,,-7.365200e-05,,1.700000e+308,
120,,-7.363200e-05,,1.700000e+308,
121,,-7.366400e-05,,1.700000e+308,
122,,-7.364800e-05,,1.700000e+308,
123,,-7.365200e-05,,1.700000e+308,
124,,-7.367200e-05,,1.700000e+308,
125,,-7.368000e-05,,1.700000e+308,
126,,-7.366800e-05,,1.700000e+308,
127,,-7.361600e-05,,1.700000e+308,
128,,-7.363200e-05,,1.700000e+308,
