"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-23",
"Time","17:06:33",
"Comment","",

"Meas. Place",,"1",,"2",,
"Type",,"Delay",,"Peak Peak",,
"Source 1",,"C2",,"C2",,
"Source 2",,"C1",,,,
"Unit",,s,,,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,
"Wave count",,1378,,1378,,
"Current",,-8.654400e-05,,nan,,
"Average No.",,1.000000e+03,,1.000000e+03,,
"Min",,-8.660000e-05,,nan,,
"Max",,-8.650800e-05,,nan,,
"Mean",,-8.655043e-05,,nan,,
"StdDev",,1.558800e-08,,nan,,
"Time of first value",,,,,,
"Time of last value",,,,,,
"Long term Min",,-8.660400e-05,,nan,,
"Long term Max",,-8.649600e-05,,nan,,
"Long term Mean",,-8.655083e-05,,nan,,
"Long term StdDev",,1.601600e-08,,nan,,
"Long term start time",,,,,,
"Long term end Time",,,,,,


"Index","Time Offset","Value","Time Offset","Value",
1,,-8.655200e-05,,1.700000e+308,
2,,-8.656400e-05,,1.700000e+308,
3,,-8.654400e-05,,1.700000e+308,
4,,-8.654400e-05,,1.700000e+308,
5,,-8.653200e-05,,1.700000e+308,
6,,-8.655600e-05,,1.700000e+308,
7,,-8.655200e-05,,1.700000e+308,
8,,-8.654400e-05,,1.700000e+308,
9,,-8.654000e-05,,1.700000e+308,
10,,-8.656800e-05,,1.700000e+308,
11,,-8.654800e-05,,1.700000e+308,
12,,-8.654400e-05,,1.700000e+308,
13,,-8.652800e-05,,1.700000e+308,
14,,-8.654800e-05,,1.700000e+308,
15,,-8.655200e-05,,1.700000e+308,
16,,-8.654000e-05,,1.700000e+308,
17,,-8.652400e-05,,1.700000e+308,
18,,-8.655200e-05,,1.700000e+308,
19,,-8.653200e-05,,1.700000e+308,
20,,-8.652800e-05,,1.700000e+308,
21,,-8.654000e-05,,1.700000e+308,
22,,-8.653600e-05,,1.700000e+308,
23,,-8.654800e-05,,1.700000e+308,
24,,-8.654800e-05,,1.700000e+308,
25,,-8.656000e-05,,1.700000e+308,
26,,-8.656800e-05,,1.700000e+308,
