in s,C1 in V
-5.719040E-05,-1.97754E-02
-5.718800E-05,-1.97754E-02
-5.718560E-05,2.19727E-03
-5.718320E-05,-2.70996E-02
-5.718080E-05,-5.12695E-03
-5.717840E-05,-2.70996E-02
-5.717600E-05,-1.24512E-02
-5.717360E-05,-5.12695E-03
-5.717120E-05,-5.12695E-03
-5.716880E-05,-5.12695E-03
-5.716640E-05,-1.24512E-02
-5.716400E-05,-1.24512E-02
-5.716160E-05,-5.12695E-03
-5.715920E-05,-5.12695E-03
-5.715680E-05,-5.12695E-03
-5.715440E-05,-5.12695E-03
-5.715200E-05,-5.12695E-03
-5.714960E-05,-5.12695E-03
-5.714720E-05,9.52148E-03
-5.714480E-05,2.19727E-03
-5.714240E-05,-1.24512E-02
-5.714000E-05,-1.97754E-02
-5.713760E-05,-1.97754E-02
-5.713520E-05,-1.24512E-02
-5.713280E-05,-1.24512E-02
-5.713040E-05,-1.24512E-02
-5.712800E-05,2.19727E-03
-5.712560E-05,-5.12695E-03
-5.712320E-05,-5.12695E-03
-5.712080E-05,-5.12695E-03
-5.711840E-05,-1.97754E-02
-5.711600E-05,-1.97754E-02
-5.711360E-05,-1.97754E-02
-5.711120E-05,-1.97754E-02
-5.710880E-05,-1.97754E-02
-5.710640E-05,-2.70996E-02
-5.710400E-05,-1.97754E-02
-5.710160E-05,2.19727E-03
-5.709920E-05,-5.12695E-03
-5.709680E-05,2.19727E-03
-5.709440E-05,-5.12695E-03
-5.709200E-05,-5.12695E-03
-5.708960E-05,9.52148E-03
-5.708720E-05,-5.12695E-03
-5.708480E-05,-1.24512E-02
-5.708240E-05,2.19727E-03
-5.708000E-05,-5.12695E-03
-5.707760E-05,1.68457E-02
-5.707520E-05,-2.70996E-02
-5.707280E-05,-1.97754E-02
-5.707040E-05,2.19727E-03
-5.706800E-05,-1.24512E-02
-5.706560E-05,-1.97754E-02
-5.706320E-05,-1.24512E-02
-5.706080E-05,-5.12695E-03
-5.705840E-05,2.19727E-03
-5.705600E-05,-5.12695E-03
-5.705360E-05,2.19727E-03
-5.705120E-05,-5.12695E-03
-5.704880E-05,-3.44238E-02
-5.704640E-05,2.19727E-03
-5.704400E-05,-1.24512E-02
-5.704160E-05,-1.97754E-02
-5.703920E-05,-5.12695E-03
-5.703680E-05,-2.70996E-02
-5.703440E-05,-1.97754E-02
-5.703200E-05,-2.70996E-02
-5.702960E-05,-1.24512E-02
-5.702720E-05,2.19727E-03
-5.702480E-05,-4.17480E-02
-5.702240E-05,9.52148E-03
-5.702000E-05,-1.97754E-02
-5.701760E-05,-5.12695E-03
-5.701520E-05,-1.24512E-02
-5.701280E-05,1.68457E-02
-5.701040E-05,9.52148E-03
-5.700800E-05,-5.12695E-03
-5.700560E-05,-2.70996E-02
-5.700320E-05,-1.24512E-02
-5.700080E-05,-1.97754E-02
-5.699840E-05,-1.97754E-02
-5.699600E-05,-5.12695E-03
-5.699360E-05,1.68457E-02
-5.699120E-05,-1.24512E-02
-5.698880E-05,2.19727E-03
-5.698640E-05,9.52148E-03
-5.698400E-05,-2.70996E-02
-5.698160E-05,2.19727E-03
-5.697920E-05,-5.12695E-03
-5.697680E-05,-5.12695E-03
-5.697440E-05,-1.24512E-02
-5.697200E-05,-4.17480E-02
-5.696960E-05,-3.44238E-02
-5.696720E-05,-1.97754E-02
-5.696480E-05,-1.24512E-02
-5.696240E-05,-1.97754E-02
-5.696000E-05,-1.97754E-02
-5.695760E-05,-5.12695E-03
-5.695520E-05,-2.70996E-02
-5.695280E-05,-1.97754E-02
-5.695040E-05,-1.24512E-02
-5.694800E-05,-5.12695E-03
-5.694560E-05,-1.97754E-02
-5.694320E-05,2.19727E-03
-5.694080E-05,-1.24512E-02
-5.693840E-05,-1.24512E-02
-5.693600E-05,-2.70996E-02
-5.693360E-05,-5.12695E-03
-5.693120E-05,-5.12695E-03
-5.692880E-05,-1.24512E-02
-5.692640E-05,2.19727E-03
-5.692400E-05,-2.70996E-02
-5.692160E-05,-3.44238E-02
-5.691920E-05,-1.24512E-02
-5.691680E-05,9.52148E-03
-5.691440E-05,-3.44238E-02
-5.691200E-05,-2.70996E-02
-5.690960E-05,-1.24512E-02
-5.690720E-05,-5.12695E-03
-5.690480E-05,-2.70996E-02
-5.690240E-05,-2.70996E-02
-5.690000E-05,-1.24512E-02
-5.689760E-05,2.19727E-03
-5.689520E-05,-1.97754E-02
-5.689280E-05,-1.97754E-02
-5.689040E-05,-1.24512E-02
-5.688800E-05,-5.12695E-03
-5.688560E-05,-1.97754E-02
-5.688320E-05,-2.70996E-02
-5.688080E-05,-1.97754E-02
-5.687840E-05,1.68457E-02
-5.687600E-05,1.68457E-02
-5.687360E-05,-5.12695E-03
-5.687120E-05,-1.97754E-02
-5.686880E-05,-1.97754E-02
-5.686640E-05,-5.12695E-03
-5.686400E-05,-5.12695E-03
-5.686160E-05,-1.97754E-02
-5.685920E-05,1.68457E-02
-5.685680E-05,-1.24512E-02
-5.685440E-05,-1.24512E-02
-5.685200E-05,-1.97754E-02
-5.684960E-05,-1.97754E-02
-5.684720E-05,-1.24512E-02
-5.684480E-05,-5.12695E-03
-5.684240E-05,-1.24512E-02
-5.684000E-05,-1.97754E-02
-5.683760E-05,2.19727E-03
-5.683520E-05,-2.70996E-02
-5.683280E-05,-3.44238E-02
-5.683040E-05,-5.12695E-03
-5.682800E-05,-2.70996E-02
-5.682560E-05,-5.12695E-03
-5.682320E-05,-1.24512E-02
-5.682080E-05,-1.97754E-02
-5.681840E-05,-5.12695E-03
-5.681600E-05,-5.12695E-03
-5.681360E-05,-2.70996E-02
-5.681120E-05,-1.24512E-02
-5.680880E-05,-5.12695E-03
-5.680640E-05,-1.24512E-02
-5.680400E-05,-5.12695E-03
-5.680160E-05,1.68457E-02
-5.679920E-05,9.52148E-03
-5.679680E-05,-1.97754E-02
-5.679440E-05,-4.90723E-02
-5.679200E-05,-1.97754E-02
-5.678960E-05,-1.97754E-02
-5.678720E-05,-1.97754E-02
-5.678480E-05,-5.12695E-03
-5.678240E-05,-1.24512E-02
-5.678000E-05,-1.24512E-02
-5.677760E-05,-1.97754E-02
-5.677520E-05,9.52148E-03
-5.677280E-05,-2.70996E-02
-5.677040E-05,-1.97754E-02
-5.676800E-05,9.52148E-03
-5.676560E-05,-4.17480E-02
-5.676320E-05,-1.24512E-02
-5.676080E-05,2.19727E-03
-5.675840E-05,-5.12695E-03
-5.675600E-05,-5.12695E-03
-5.675360E-05,2.19727E-03
-5.675120E-05,-5.12695E-03
-5.674880E-05,-1.24512E-02
-5.674640E-05,-1.24512E-02
-5.674400E-05,-1.24512E-02
-5.674160E-05,2.19727E-03
-5.673920E-05,-5.12695E-03
-5.673680E-05,-1.97754E-02
-5.673440E-05,-5.12695E-03
-5.673200E-05,-1.24512E-02
-5.672960E-05,-5.12695E-03
-5.672720E-05,-1.24512E-02
-5.672480E-05,-3.44238E-02
-5.672240E-05,-1.24512E-02
-5.672000E-05,-5.12695E-03
-5.671760E-05,-1.97754E-02
-5.671520E-05,-5.12695E-03
-5.671280E-05,-5.12695E-03
-5.671040E-05,-1.24512E-02
-5.670800E-05,-5.12695E-03
-5.670560E-05,-2.70996E-02
-5.670320E-05,-5.12695E-03
-5.670080E-05,2.19727E-03
-5.669840E-05,2.19727E-03
-5.669600E-05,-1.24512E-02
-5.669360E-05,-5.12695E-03
-5.669120E-05,-1.24512E-02
-5.668880E-05,-5.12695E-03
-5.668640E-05,2.19727E-03
-5.668400E-05,-1.24512E-02
-5.668160E-05,9.52148E-03
-5.667920E-05,-2.70996E-02
-5.667680E-05,-3.44238E-02
-5.667440E-05,9.52148E-03
-5.667200E-05,-2.70996E-02
-5.666960E-05,-1.24512E-02
-5.666720E-05,-1.24512E-02
-5.666480E-05,2.19727E-03
-5.666240E-05,1.68457E-02
-5.666000E-05,-1.97754E-02
-5.665760E-05,-2.70996E-02
-5.665520E-05,-5.12695E-03
-5.665280E-05,-5.12695E-03
-5.665040E-05,-1.24512E-02
-5.664800E-05,-5.12695E-03
-5.664560E-05,-1.24512E-02
-5.664320E-05,-1.24512E-02
-5.664080E-05,-5.12695E-03
-5.663840E-05,-1.24512E-02
-5.663600E-05,-5.12695E-03
-5.663360E-05,-5.12695E-03
-5.663120E-05,-1.24512E-02
-5.662880E-05,9.52148E-03
-5.662640E-05,-5.12695E-03
-5.662400E-05,-3.44238E-02
-5.662160E-05,-2.70996E-02
-5.661920E-05,-1.24512E-02
-5.661680E-05,-1.97754E-02
-5.661440E-05,-1.97754E-02
-5.661200E-05,-5.12695E-03
-5.660960E-05,-1.24512E-02
-5.660720E-05,-5.12695E-03
-5.660480E-05,-1.24512E-02
-5.660240E-05,-1.24512E-02
-5.660000E-05,-5.12695E-03
-5.659760E-05,9.52148E-03
-5.659520E-05,-5.12695E-03
-5.659280E-05,-1.97754E-02
