"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-26",
"Time","12:21:10",
"Comment","",

"Meas. Place",,"1",,"2",,
"Type",,"Delay",,"Peak Peak",,
"Source 1",,"C2",,"C2",,
"Source 2",,"C1",,,,
"Unit",,s,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,
"Wave count",,1042,,1042,,
"Current",,-3.542240e-05,,3.175500e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,
"Min",,-3.551840e-05,,3.153600e+00,,
"Max",,-3.538240e-05,,3.212000e+00,,
"Mean",,-3.543617e-05,,3.180267e+00,,
"StdDev",,2.186720e-08,,7.548200e-03,,
"Time of first value",,,,,,
"Time of last value",,,,,,
"Long term Min",,-3.551840e-05,,3.153600e+00,,
"Long term Max",,-3.538240e-05,,3.212000e+00,,
"Long term Mean",,-3.543620e-05,,3.180172e+00,,
"Long term StdDev",,2.181280e-08,,7.497100e-03,,
"Long term start time",,,,,,
"Long term end Time",,,,,,


"Index","Time Offset","Value","Time Offset","Value",
1,,-3.545280e-05,,3.190100e+00,
2,,-3.545120e-05,,3.175500e+00,
3,,-3.540640e-05,,3.182800e+00,
4,,-3.542560e-05,,3.175500e+00,
5,,-3.547040e-05,,3.197400e+00,
6,,-3.542400e-05,,3.182800e+00,
7,,-3.542560e-05,,3.182800e+00,
8,,-3.544480e-05,,3.175500e+00,
9,,-3.543680e-05,,3.175500e+00,
10,,-3.542880e-05,,3.182800e+00,
11,,-3.543040e-05,,3.175500e+00,
12,,-3.543360e-05,,3.182800e+00,
13,,-3.540800e-05,,3.182800e+00,
14,,-3.538720e-05,,3.182800e+00,
15,,-3.541920e-05,,3.175500e+00,
16,,-3.541920e-05,,3.182800e+00,
17,,-3.544800e-05,,3.175500e+00,
18,,-3.545920e-05,,3.190100e+00,
19,,-3.544480e-05,,3.175500e+00,
20,,-3.546400e-05,,3.175500e+00,
21,,-3.541920e-05,,3.182800e+00,
22,,-3.543680e-05,,3.175500e+00,
23,,-3.546400e-05,,3.175500e+00,
24,,-3.540800e-05,,3.190100e+00,
25,,-3.544960e-05,,3.175500e+00,
26,,-3.541760e-05,,3.168200e+00,
27,,-3.545280e-05,,3.175500e+00,
28,,-3.544160e-05,,3.182800e+00,
29,,-3.540800e-05,,3.175500e+00,
30,,-3.543840e-05,,3.175500e+00,
31,,-3.541600e-05,,3.182800e+00,
32,,-3.544800e-05,,3.175500e+00,
33,,-3.543520e-05,,3.182800e+00,
34,,-3.541760e-05,,3.182800e+00,
35,,-3.549280e-05,,3.190100e+00,
36,,-3.541440e-05,,3.175500e+00,
37,,-3.543840e-05,,3.175500e+00,
38,,-3.544000e-05,,3.175500e+00,
39,,-3.542720e-05,,3.190100e+00,
40,,-3.548480e-05,,3.175500e+00,
41,,-3.542400e-05,,3.182800e+00,
42,,-3.544800e-05,,3.175500e+00,
43,,-3.544960e-05,,3.190100e+00,
44,,-3.547200e-05,,3.182800e+00,
45,,-3.542720e-05,,3.182800e+00,
46,,-3.543360e-05,,3.175500e+00,
47,,-3.544800e-05,,3.175500e+00,
48,,-3.544960e-05,,3.175500e+00,
49,,-3.542720e-05,,3.182800e+00,
50,,-3.543840e-05,,3.175500e+00,
51,,-3.549600e-05,,3.204700e+00,
52,,-3.541920e-05,,3.182800e+00,
53,,-3.546720e-05,,3.175500e+00,
54,,-3.541920e-05,,3.168200e+00,
55,,-3.540800e-05,,3.168200e+00,
56,,-3.546400e-05,,3.175500e+00,
57,,-3.540800e-05,,3.182800e+00,
