"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-01",
"Time","13:59:10",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1405,,1405,,1405,,1405,,
"Current",,3.270400e+00,,2.156000e-01,,1.358936e+05,,-1.666928e+02,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,2.993000e+00,,8.820000e-02,,1.297960e+05,,-1.796060e+02,,
"Max",,3.365300e+00,,4.067000e-01,,1.400968e+05,,1.798828e+02,,
"Mean",,3.142774e+00,,2.578380e-01,,1.347630e+05,,-2.801484e+00,,
"StdDev",,1.006451e-01,,8.546090e-02,,2.766120e+03,,1.037907e+02,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,2.993000e+00,,8.820000e-02,,1.297960e+05,,-1.796060e+02,,
"Long term Max",,3.365300e+00,,4.067000e-01,,1.401264e+05,,1.807880e+02,,
"Long term Mean",,3.149330e+00,,2.523206e-01,,1.349366e+05,,1.823940e+00,,
"Long term StdDev",,1.016817e-01,,8.738170e-02,,2.843006e+03,,1.050969e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,3.051400e+00,,3.675000e-01,,1.313484e+05,,-1.176799e+02,
2,,3.058700e+00,,3.626000e-01,,1.314450e+05,,-1.150410e+02,
3,,3.051400e+00,,3.626000e-01,,1.312518e+05,,-1.113188e+02,
4,,3.051400e+00,,3.626000e-01,,1.314036e+05,,-1.069820e+02,
5,,3.051400e+00,,3.626000e-01,,1.315278e+05,,-1.034470e+02,
6,,3.044100e+00,,3.626000e-01,,1.318137e+05,,-9.798165e+01,
7,,3.044100e+00,,3.577000e-01,,1.314312e+05,,-9.557355e+01,
8,,3.044100e+00,,3.577000e-01,,1.318276e+05,,-9.149968e+01,
9,,3.036800e+00,,3.577000e-01,,1.316330e+05,,-9.007582e+01,
10,,3.036800e+00,,3.528000e-01,,1.317720e+05,,-8.637571e+01,
11,,3.036800e+00,,3.577000e-01,,1.317859e+05,,-8.270322e+01,
12,,3.036800e+00,,3.528000e-01,,1.317442e+05,,-8.081788e+01,
13,,3.029500e+00,,3.528000e-01,,1.317581e+05,,-7.558975e+01,
14,,3.029500e+00,,3.528000e-01,,1.320083e+05,,-7.489703e+01,
15,,3.029500e+00,,3.528000e-01,,1.320620e+05,,-7.462441e+01,
16,,3.022200e+00,,3.528000e-01,,1.320760e+05,,-7.360524e+01,
17,,3.029500e+00,,3.528000e-01,,1.321180e+05,,-6.723602e+01,
18,,3.022200e+00,,3.479000e-01,,1.321460e+05,,-6.576594e+01,
19,,3.022200e+00,,3.479000e-01,,1.320222e+05,,-6.098859e+01,
20,,3.022200e+00,,3.479000e-01,,1.321600e+05,,-6.154790e+01,
21,,3.014900e+00,,3.479000e-01,,1.322300e+05,,-5.834338e+01,
22,,3.022200e+00,,3.479000e-01,,1.318276e+05,,-5.816494e+01,
23,,3.014900e+00,,3.479000e-01,,1.324540e+05,,-5.321606e+01,
24,,3.022200e+00,,3.479000e-01,,1.324680e+05,,-5.024587e+01,
25,,3.022200e+00,,3.430000e-01,,1.322440e+05,,-4.886585e+01,
26,,3.022200e+00,,3.430000e-01,,1.322440e+05,,-4.806602e+01,
27,,3.022200e+00,,3.430000e-01,,1.323700e+05,,-4.532881e+01,
28,,3.022200e+00,,3.430000e-01,,1.324680e+05,,-4.520983e+01,
29,,3.014900e+00,,3.430000e-01,,1.323700e+05,,-4.109711e+01,
30,,3.022200e+00,,3.381000e-01,,1.323980e+05,,-3.893232e+01,
31,,3.022200e+00,,3.381000e-01,,1.325964e+05,,-3.356741e+01,
32,,3.022200e+00,,3.381000e-01,,1.324820e+05,,-3.308108e+01,
33,,3.022200e+00,,3.381000e-01,,1.324960e+05,,-3.087132e+01,
34,,3.029500e+00,,3.381000e-01,,1.327233e+05,,-2.713952e+01,
35,,3.029500e+00,,3.332000e-01,,1.324680e+05,,-2.651547e+01,
36,,3.022200e+00,,3.332000e-01,,1.323700e+05,,-2.401779e+01,
37,,3.029500e+00,,3.332000e-01,,1.326105e+05,,-1.898154e+01,
38,,3.036800e+00,,3.283000e-01,,1.324820e+05,,-2.003180e+01,
39,,3.036800e+00,,3.283000e-01,,1.328079e+05,,-1.705907e+01,
40,,3.029500e+00,,3.283000e-01,,1.325259e+05,,-1.423664e+01,
41,,3.036800e+00,,3.283000e-01,,1.330398e+05,,-1.375479e+01,
42,,3.036800e+00,,3.283000e-01,,1.329348e+05,,-1.083484e+01,
43,,3.044100e+00,,3.234000e-01,,1.325682e+05,,-6.528794e+00,
44,,3.051400e+00,,3.234000e-01,,1.330256e+05,,-5.286794e+00,
45,,3.058700e+00,,3.234000e-01,,1.329348e+05,,-2.143997e+00,
46,,3.051400e+00,,3.234000e-01,,1.330114e+05,,-4.328581e+00,
47,,3.058700e+00,,3.234000e-01,,1.330540e+05,,-8.796345e-01,
48,,3.058700e+00,,3.185000e-01,,1.330398e+05,,1.149425e+00,
49,,3.066000e+00,,3.185000e-01,,1.332102e+05,,5.754476e+00,
50,,3.066000e+00,,3.136000e-01,,1.332102e+05,,6.828645e+00,
51,,3.073300e+00,,3.136000e-01,,1.330256e+05,,1.275726e+01,
52,,3.073300e+00,,3.136000e-01,,1.332102e+05,,1.308184e+01,
53,,3.080600e+00,,3.087000e-01,,1.330256e+05,,1.643503e+01,
54,,3.087900e+00,,3.087000e-01,,1.333806e+05,,1.813060e+01,
55,,3.095200e+00,,3.038000e-01,,1.332386e+05,,2.428906e+01,
56,,3.095200e+00,,3.038000e-01,,1.333522e+05,,2.050779e+01,
57,,3.095200e+00,,3.038000e-01,,1.331392e+05,,2.415593e+01,
58,,3.102500e+00,,3.038000e-01,,1.334090e+05,,2.893063e+01,
59,,3.102500e+00,,3.038000e-01,,1.334619e+05,,2.632928e+01,
60,,3.109800e+00,,3.038000e-01,,1.334619e+05,,2.844331e+01,
61,,3.117100e+00,,2.989000e-01,,1.336335e+05,,3.121232e+01,
62,,3.117100e+00,,3.038000e-01,,1.334516e+05,,3.320594e+01,
63,,3.124400e+00,,2.989000e-01,,1.337479e+05,,3.559170e+01,
64,,3.131700e+00,,2.940000e-01,,1.335334e+05,,3.799594e+01,
65,,3.139000e+00,,2.940000e-01,,1.337050e+05,,4.432132e+01,
66,,3.153600e+00,,2.842000e-01,,1.338194e+05,,5.060272e+01,
67,,3.160900e+00,,2.842000e-01,,1.339488e+05,,5.805829e+01,
68,,3.168200e+00,,2.842000e-01,,1.338623e+05,,5.933176e+01,
69,,3.168200e+00,,2.793000e-01,,1.337336e+05,,6.536001e+01,
70,,3.175500e+00,,2.793000e-01,,1.338909e+05,,6.416452e+01,
71,,3.190100e+00,,2.793000e-01,,1.340208e+05,,7.044066e+01,
72,,3.190100e+00,,2.744000e-01,,1.342224e+05,,7.135832e+01,
73,,3.197400e+00,,2.695000e-01,,1.341360e+05,,7.617985e+01,
74,,3.204700e+00,,2.695000e-01,,1.341216e+05,,7.771674e+01,
75,,3.204700e+00,,2.695000e-01,,1.342512e+05,,8.254752e+01,
76,,3.219300e+00,,2.695000e-01,,1.342080e+05,,8.306206e+01,
77,,3.219300e+00,,2.646000e-01,,1.345600e+05,,8.567922e+01,
78,,3.219300e+00,,2.646000e-01,,1.342944e+05,,9.108294e+01,
79,,3.241200e+00,,2.597000e-01,,1.343376e+05,,9.726384e+01,
80,,3.241200e+00,,2.597000e-01,,1.344585e+05,,1.016844e+02,
81,,3.248500e+00,,2.548000e-01,,1.344440e+05,,1.005507e+02,
82,,3.248500e+00,,2.548000e-01,,1.349040e+05,,1.096784e+02,
83,,3.248500e+00,,2.499000e-01,,1.346325e+05,,1.144168e+02,
84,,3.255800e+00,,2.499000e-01,,1.347920e+05,,1.134268e+02,
85,,3.263100e+00,,2.499000e-01,,1.348500e+05,,1.182524e+02,
86,,3.263100e+00,,2.450000e-01,,1.348210e+05,,1.218378e+02,
87,,3.270400e+00,,2.450000e-01,,1.348894e+05,,1.219812e+02,
88,,3.263100e+00,,2.450000e-01,,1.349332e+05,,1.276166e+02,
89,,3.270400e+00,,2.450000e-01,,1.347050e+05,,1.271638e+02,
90,,3.270400e+00,,2.401000e-01,,1.351522e+05,,1.275900e+02,
91,,3.270400e+00,,2.401000e-01,,1.348894e+05,,1.300615e+02,
92,,3.277700e+00,,2.401000e-01,,1.350792e+05,,1.352237e+02,
93,,3.270400e+00,,2.401000e-01,,1.349916e+05,,1.354860e+02,
