"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-01",
"Time","13:50:58",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1292,,1292,,1292,,1292,,
"Current",,2.292200e+00,,1.141700e+00,,8.379840e+04,,-1.552331e+02,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.868800e+00,,1.087800e+00,,8.002120e+04,,-1.793544e+02,,
"Max",,2.306800e+00,,1.210300e+00,,9.002280e+04,,1.801077e+02,,
"Mean",,2.088523e+00,,1.137329e+00,,8.492988e+04,,4.529657e+00,,
"StdDev",,1.365538e-01,,3.279080e-02,,2.888834e+03,,1.082313e+02,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.868800e+00,,1.087800e+00,,7.994280e+04,,-1.793544e+02,,
"Long term Max",,2.306800e+00,,1.210300e+00,,9.002280e+04,,1.801077e+02,,
"Long term Mean",,2.085179e+00,,1.136227e+00,,8.501701e+04,,1.469258e+00,,
"Long term StdDev",,1.370429e-01,,3.264380e-02,,2.883420e+03,,1.068810e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.051300e+00,,1.190700e+00,,8.095407e+04,,1.084478e+02,
2,,2.065900e+00,,1.190700e+00,,8.110608e+04,,1.126812e+02,
3,,2.073200e+00,,1.190700e+00,,8.114304e+04,,1.147911e+02,
4,,2.080500e+00,,1.185800e+00,,8.118264e+04,,1.177319e+02,
5,,2.095100e+00,,1.185800e+00,,8.128824e+04,,1.207562e+02,
6,,2.102400e+00,,1.180900e+00,,8.141462e+04,,1.248128e+02,
7,,2.117000e+00,,1.180900e+00,,8.149176e+04,,1.279259e+02,
8,,2.131600e+00,,1.180900e+00,,8.159816e+04,,1.303954e+02,
9,,2.146200e+00,,1.176000e+00,,8.166998e+04,,1.339644e+02,
10,,2.168100e+00,,1.176000e+00,,8.176814e+04,,1.385285e+02,
11,,2.168100e+00,,1.176000e+00,,8.186462e+04,,1.406972e+02,
12,,2.182700e+00,,1.176000e+00,,8.195038e+04,,1.442782e+02,
13,,2.197300e+00,,1.171100e+00,,8.206515e+04,,1.481837e+02,
14,,2.211900e+00,,1.166200e+00,,8.213535e+04,,1.506532e+02,
15,,2.219200e+00,,1.166200e+00,,8.219205e+04,,1.550671e+02,
16,,2.233800e+00,,1.166200e+00,,8.235752e+04,,1.581840e+02,
17,,2.241100e+00,,1.166200e+00,,8.240240e+04,,1.597969e+02,
18,,2.248400e+00,,1.161300e+00,,8.249624e+04,,1.625922e+02,
19,,2.263000e+00,,1.161300e+00,,8.258192e+04,,1.669910e+02,
20,,2.270300e+00,,1.156400e+00,,8.269868e+04,,1.694859e+02,
21,,2.277600e+00,,1.156400e+00,,8.281102e+04,,1.728963e+02,
22,,2.277600e+00,,1.156400e+00,,8.287130e+04,,1.750305e+02,
23,,2.284900e+00,,1.151500e+00,,8.293386e+04,,1.782114e+02,
24,,2.292200e+00,,1.146600e+00,,8.304564e+04,,-1.793544e+02,
