"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-01",
"Time","13:52:54",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1150,,1150,,1150,,1151,,
"Current",,2.357900e+00,,9.702000e-01,,9.814112e+04,,5.047783e+01,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.905300e+00,,9.408000e-01,,8.997758e+04,,-1.791214e+02,,
"Max",,2.445500e+00,,1.092700e+00,,9.998142e+04,,1.797337e+02,,
"Mean",,2.154851e+00,,1.020165e+00,,9.504485e+04,,1.126439e+01,,
"StdDev",,1.705499e-01,,4.334050e-02,,2.858397e+03,,1.005524e+02,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.905300e+00,,9.408000e-01,,8.997758e+04,,-1.791214e+02,,
"Long term Max",,2.445500e+00,,1.092700e+00,,9.998142e+04,,1.797337e+02,,
"Long term Mean",,2.151434e+00,,1.020597e+00,,9.501400e+04,,7.982505e+00,,
"Long term StdDev",,1.701557e-01,,4.294850e-02,,2.833486e+03,,1.016113e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.168100e+00,,1.019200e+00,,9.552196e+04,,-5.247821e+01,
2,,2.175400e+00,,1.019200e+00,,9.559934e+04,,-4.979280e+01,
3,,2.175400e+00,,1.014300e+00,,9.568694e+04,,-4.596392e+01,
4,,2.182700e+00,,1.014300e+00,,9.575286e+04,,-4.325069e+01,
5,,2.182700e+00,,1.014300e+00,,9.589692e+04,,-3.867723e+01,
6,,2.190000e+00,,1.009400e+00,,9.591015e+04,,-3.626257e+01,
7,,2.190000e+00,,1.009400e+00,,9.602684e+04,,-3.308946e+01,
8,,2.197300e+00,,1.009400e+00,,9.609196e+04,,-2.862191e+01,
9,,2.197300e+00,,1.009400e+00,,9.613044e+04,,-2.787721e+01,
10,,2.204600e+00,,1.004500e+00,,9.625032e+04,,-2.283157e+01,
11,,2.204600e+00,,1.004500e+00,,9.638065e+04,,-1.813867e+01,
12,,2.219200e+00,,1.004500e+00,,9.643578e+04,,-1.661410e+01,
13,,2.219200e+00,,1.004500e+00,,9.651177e+04,,-1.260863e+01,
14,,2.226500e+00,,9.996000e-01,,9.656690e+04,,-9.579208e+00,
15,,2.226500e+00,,9.996000e-01,,9.666750e+04,,-6.104530e+00,
16,,2.241100e+00,,9.996000e-01,,9.675600e+04,,-1.839864e+00,
17,,2.241100e+00,,9.996000e-01,,9.684900e+04,,-8.093023e-01,
18,,2.248400e+00,,9.947000e-01,,9.690900e+04,,4.748235e+00,
19,,2.255700e+00,,9.898000e-01,,9.698730e+04,,7.198884e+00,
20,,2.263000e+00,,9.898000e-01,,9.706431e+04,,9.342657e+00,
21,,2.270300e+00,,9.898000e-01,,9.715793e+04,,1.435514e+01,
22,,2.284900e+00,,9.898000e-01,,9.725759e+04,,1.831412e+01,
23,,2.284900e+00,,9.849000e-01,,9.731040e+04,,2.091786e+01,
24,,2.292200e+00,,9.849000e-01,,9.739552e+04,,2.434064e+01,
25,,2.306800e+00,,9.849000e-01,,9.753840e+04,,2.917096e+01,
26,,2.306800e+00,,9.800000e-01,,9.755816e+04,,2.973252e+01,
27,,2.314100e+00,,9.800000e-01,,9.767520e+04,,3.356814e+01,
28,,2.321400e+00,,9.800000e-01,,9.770886e+04,,3.636335e+01,
29,,2.328700e+00,,9.751000e-01,,9.781290e+04,,3.913349e+01,
30,,2.343300e+00,,9.751000e-01,,9.793989e+04,,4.467585e+01,
31,,2.343300e+00,,9.751000e-01,,9.798866e+04,,4.734239e+01,
32,,2.357900e+00,,9.702000e-01,,9.807644e+04,,5.093166e+01,
33,,2.365200e+00,,9.702000e-01,,9.815190e+04,,5.358153e+01,
34,,2.365200e+00,,9.702000e-01,,9.821966e+04,,5.532370e+01,
35,,2.379800e+00,,9.653000e-01,,9.833200e+04,,6.055228e+01,
36,,2.387100e+00,,9.653000e-01,,9.845290e+04,,6.504214e+01,
37,,2.387100e+00,,9.653000e-01,,9.843120e+04,,6.640997e+01,
38,,2.394400e+00,,9.604000e-01,,9.861384e+04,,6.919149e+01,
39,,2.401700e+00,,9.604000e-01,,9.868560e+04,,7.346649e+01,
40,,2.401700e+00,,9.604000e-01,,9.873396e+04,,7.521708e+01,
