"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-02",
"Time","12:56:38",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,579,,579,,579,,579,,
"Current",,3.723000e+00,,3.689700e+00,,nan,,nan,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,3.175500e+00,,3.140900e+00,,4.583250e+00,,-1.253710e+00,,
"Max",,4.044200e+00,,4.081700e+00,,1.986765e+01,,5.266781e-01,,
"Mean",,4.001853e+00,,3.993476e+00,,1.243296e+01,,-1.238778e-01,,
"StdDev",,7.029170e-02,,7.122150e-02,,4.408575e+00,,2.529080e-01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,3.175500e+00,,3.140900e+00,,4.583250e+00,,-1.253710e+00,,
"Long term Max",,4.044200e+00,,4.081700e+00,,1.986765e+01,,5.266781e-01,,
"Long term Mean",,4.001853e+00,,3.993476e+00,,1.243296e+01,,-1.238778e-01,,
"Long term StdDev",,7.035740e-02,,7.128520e-02,,4.412964e+00,,2.531598e-01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,4.015000e+00,,4.003300e+00,,6.710052e+00,,-6.294331e-01,
2,,4.015000e+00,,4.003300e+00,,7.514200e+00,,-1.349738e-01,
3,,4.015000e+00,,4.003300e+00,,8.470020e+00,,7.883376e-02,
4,,4.015000e+00,,4.003300e+00,,9.106097e+00,,-2.668059e-01,
5,,4.015000e+00,,4.003300e+00,,9.907352e+00,,1.911703e-01,
6,,4.015000e+00,,4.003300e+00,,1.064430e+01,,5.662269e-02,
7,,4.015000e+00,,4.003300e+00,,1.150080e+01,,7.651923e-03,
8,,4.015000e+00,,4.003300e+00,,1.245678e+01,,-2.484186e-01,
9,,4.015000e+00,,4.003300e+00,,1.318768e+01,,1.666992e-01,
10,,4.015000e+00,,4.003300e+00,,1.389660e+01,,4.254117e-01,
11,,4.015000e+00,,4.003300e+00,,1.469754e+01,,7.818014e-02,
12,,4.015000e+00,,4.003300e+00,,1.544700e+01,,-7.915477e-01,
13,,4.015000e+00,,4.003300e+00,,1.616400e+01,,-2.907307e-01,
14,,4.015000e+00,,4.003300e+00,,1.674636e+01,,2.784998e-01,
15,,4.015000e+00,,4.003300e+00,,1.751694e+01,,-1.049087e-01,
16,,4.015000e+00,,4.003300e+00,,1.815360e+01,,-1.691105e-01,
17,,4.015000e+00,,4.003300e+00,,1.887392e+01,,-4.270165e-01,
18,,4.015000e+00,,4.003300e+00,,1.956780e+01,,-5.202500e-02,
19,,3.832500e+00,,3.822000e+00,,1.600000e+308,,1.600000e+308,
20,,3.978500e+00,,3.993500e+00,,1.600000e+308,,1.600000e+308,
21,,3.978500e+00,,4.057200e+00,,1.600000e+308,,1.600000e+308,
22,,4.015000e+00,,4.003300e+00,,5.132848e+00,,-9.902868e-02,
23,,4.015000e+00,,4.003300e+00,,6.145860e+00,,-4.824696e-01,
