"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-02",
"Time","12:05:55",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1421,,1421,,1421,,1421,,
"Current",,2.460100e+00,,1.773800e+00,,1.124990e+05,,-2.652529e+01,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.744700e+00,,1.626800e+00,,1.100196e+05,,-1.796971e+02,,
"Max",,2.598800e+00,,1.876700e+00,,1.201598e+05,,1.792601e+02,,
"Mean",,2.169115e+00,,1.740029e+00,,1.149290e+05,,-2.321752e+01,,
"StdDev",,1.999397e-01,,7.103040e-02,,2.897295e+03,,9.701210e+01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.744700e+00,,1.626800e+00,,1.100095e+05,,-1.796971e+02,,
"Long term Max",,2.598800e+00,,1.876700e+00,,1.201598e+05,,1.792601e+02,,
"Long term Mean",,2.169443e+00,,1.739603e+00,,1.149459e+05,,-2.335494e+01,,
"Long term StdDev",,1.996112e-01,,7.078540e-02,,2.898500e+03,,9.715038e+01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.087800e+00,,1.862000e+00,,1.114473e+05,,-9.898637e+01,
2,,2.095100e+00,,1.866900e+00,,1.113718e+05,,-9.149171e+01,
3,,2.095100e+00,,1.866900e+00,,1.113768e+05,,-8.955878e+01,
4,,2.102400e+00,,1.871800e+00,,1.112859e+05,,-8.562249e+01,
5,,2.124300e+00,,1.876700e+00,,1.113917e+05,,-7.849238e+01,
6,,2.138900e+00,,1.871800e+00,,1.115371e+05,,-7.608579e+01,
7,,2.153500e+00,,1.871800e+00,,1.116413e+05,,-7.317885e+01,
8,,2.190000e+00,,1.871800e+00,,1.116912e+05,,-6.786199e+01,
9,,2.211900e+00,,1.866900e+00,,1.118350e+05,,-6.468826e+01,
10,,2.226500e+00,,1.866900e+00,,1.118100e+05,,-6.227740e+01,
11,,2.263000e+00,,1.857100e+00,,1.119234e+05,,-5.668071e+01,
12,,2.284900e+00,,1.847300e+00,,1.117850e+05,,-5.422446e+01,
13,,2.321400e+00,,1.842400e+00,,1.120936e+05,,-4.949839e+01,
14,,2.343300e+00,,1.837500e+00,,1.120113e+05,,-4.699579e+01,
15,,2.379800e+00,,1.822800e+00,,1.121237e+05,,-4.208086e+01,
16,,2.401700e+00,,1.817900e+00,,1.121891e+05,,-3.801061e+01,
17,,2.416300e+00,,1.803200e+00,,1.122156e+05,,-3.527825e+01,
18,,2.430900e+00,,1.788500e+00,,1.124433e+05,,-3.239091e+01,
19,,2.445500e+00,,1.783600e+00,,1.124889e+05,,-3.008627e+01,
20,,2.445500e+00,,1.778700e+00,,1.125091e+05,,-2.894130e+01,
21,,2.460100e+00,,1.764000e+00,,1.126148e+05,,-2.333663e+01,
22,,2.460100e+00,,1.744400e+00,,1.127049e+05,,-2.027620e+01,
23,,2.460100e+00,,1.744400e+00,,1.126998e+05,,-1.758397e+01,
24,,2.452800e+00,,1.729700e+00,,1.128097e+05,,-1.400487e+01,
25,,2.452800e+00,,1.724800e+00,,1.128783e+05,,-1.375091e+01,
26,,2.438200e+00,,1.710100e+00,,1.131162e+05,,-9.608251e+00,
27,,2.430900e+00,,1.705200e+00,,1.130332e+05,,-8.361500e+00,
28,,2.416300e+00,,1.695400e+00,,1.130536e+05,,-5.629091e+00,
29,,2.394400e+00,,1.685600e+00,,1.132191e+05,,-2.025960e+00,
30,,2.357900e+00,,1.675800e+00,,1.132755e+05,,1.597103e+00,
31,,2.343300e+00,,1.666000e+00,,1.133884e+05,,2.516568e+00,
32,,2.321400e+00,,1.666000e+00,,1.134391e+05,,4.776011e+00,
33,,2.299500e+00,,1.656200e+00,,1.135303e+05,,6.753058e+00,
34,,2.263000e+00,,1.656200e+00,,1.135458e+05,,1.051597e+01,
35,,2.211900e+00,,1.646400e+00,,1.135974e+05,,1.465116e+01,
36,,2.190000e+00,,1.641500e+00,,1.137090e+05,,1.672972e+01,
37,,2.168100e+00,,1.641500e+00,,1.137735e+05,,1.931436e+01,
38,,2.109700e+00,,1.636600e+00,,1.138409e+05,,2.343409e+01,
39,,2.058600e+00,,1.636600e+00,,1.140048e+05,,2.840897e+01,
40,,2.036700e+00,,1.631700e+00,,1.138946e+05,,3.103845e+01,
41,,2.007500e+00,,1.631700e+00,,1.141719e+05,,3.327069e+01,
42,,1.956400e+00,,1.631700e+00,,1.141198e+05,,3.801079e+01,
43,,1.934500e+00,,1.636600e+00,,1.143487e+05,,3.964207e+01,
44,,1.890700e+00,,1.636600e+00,,1.144888e+05,,4.532386e+01,
45,,1.839600e+00,,1.636600e+00,,1.143958e+05,,5.104232e+01,
46,,1.825000e+00,,1.641500e+00,,1.145498e+05,,5.521493e+01,
47,,1.803100e+00,,1.636600e+00,,1.143540e+05,,5.887311e+01,
48,,1.781200e+00,,1.641500e+00,,1.146075e+05,,6.406247e+01,
49,,1.766600e+00,,1.646400e+00,,1.147153e+05,,6.736591e+01,
50,,1.759300e+00,,1.646400e+00,,1.144311e+05,,7.058499e+01,
51,,1.752000e+00,,1.651300e+00,,1.149623e+05,,7.751196e+01,
52,,1.752000e+00,,1.656200e+00,,1.150524e+05,,8.089813e+01,
53,,1.752000e+00,,1.661100e+00,,1.149517e+05,,8.494940e+01,
54,,1.759300e+00,,1.661100e+00,,1.148875e+05,,9.058921e+01,
55,,1.766600e+00,,1.666000e+00,,1.151584e+05,,9.358804e+01,
56,,1.781200e+00,,1.670900e+00,,1.151845e+05,,9.681868e+01,
57,,1.810400e+00,,1.675800e+00,,1.153695e+05,,1.039904e+02,
58,,1.825000e+00,,1.680700e+00,,1.154158e+05,,1.066384e+02,
59,,1.839600e+00,,1.685600e+00,,1.153642e+05,,1.109832e+02,
60,,1.883400e+00,,1.695400e+00,,1.154425e+05,,1.155945e+02,
61,,1.905300e+00,,1.690500e+00,,1.154798e+05,,1.182377e+02,
62,,1.949100e+00,,1.705200e+00,,1.156135e+05,,1.252087e+02,
63,,1.978300e+00,,1.710100e+00,,1.156082e+05,,1.278164e+02,
64,,2.000200e+00,,1.710100e+00,,1.156724e+05,,1.282789e+02,
65,,2.044000e+00,,1.715000e+00,,1.158094e+05,,1.356546e+02,
66,,2.080500e+00,,1.724800e+00,,1.158309e+05,,1.386902e+02,
67,,2.117000e+00,,1.729700e+00,,1.158739e+05,,1.432731e+02,
68,,2.138900e+00,,1.734600e+00,,1.159928e+05,,1.450223e+02,
69,,2.175400e+00,,1.739500e+00,,1.160575e+05,,1.507249e+02,
70,,2.211900e+00,,1.744400e+00,,1.162026e+05,,1.556513e+02,
