"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-01",
"Time","13:57:49",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1903,,1903,,1903,,1903,,
"Current",,2.613400e+00,,5.341000e-01,,1.233420e+05,,1.501599e+02,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,2.168100e+00,,2.597000e-01,,1.197674e+05,,-1.787300e+02,,
"Max",,3.007600e+00,,6.370000e-01,,1.300886e+05,,1.791591e+02,,
"Mean",,2.573396e+00,,5.094677e-01,,1.249287e+05,,3.295774e+01,,
"StdDev",,2.246575e-01,,6.112260e-02,,3.024124e+03,,9.134284e+01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,2.168100e+00,,2.597000e-01,,1.197674e+05,,-1.803042e+02,,
"Long term Max",,3.007600e+00,,6.370000e-01,,1.301374e+05,,1.791591e+02,,
"Long term Mean",,2.577929e+00,,5.080663e-01,,1.250428e+05,,3.151268e+01,,
"Long term StdDev",,2.125687e-01,,5.805030e-02,,2.901660e+03,,9.268137e+01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.963800e+00,,4.018000e-01,,1.296182e+05,,1.419618e+02,
2,,2.978400e+00,,4.018000e-01,,1.297620e+05,,1.444036e+02,
3,,2.978400e+00,,4.018000e-01,,1.296450e+05,,1.518482e+02,
4,,2.978400e+00,,3.969000e-01,,1.296810e+05,,1.493557e+02,
5,,2.985700e+00,,3.969000e-01,,1.297755e+05,,1.523048e+02,
6,,2.985700e+00,,3.969000e-01,,1.296945e+05,,1.536667e+02,
7,,2.985700e+00,,3.920000e-01,,1.296675e+05,,1.589751e+02,
8,,2.993000e+00,,3.920000e-01,,1.299645e+05,,1.591142e+02,
9,,3.000300e+00,,3.920000e-01,,1.297755e+05,,1.634053e+02,
10,,3.000300e+00,,3.920000e-01,,1.300590e+05,,1.651483e+02,
11,,3.000300e+00,,3.871000e-01,,1.300590e+05,,1.676579e+02,
12,,2.190000e+00,,6.321000e-01,,1.203500e+05,,-3.455806e+01,
13,,2.190000e+00,,6.321000e-01,,1.202804e+05,,-3.509238e+01,
14,,2.182700e+00,,6.272000e-01,,1.199450e+05,,-2.978904e+01,
15,,2.182700e+00,,6.223000e-01,,1.199565e+05,,-2.905566e+01,
16,,2.175400e+00,,6.174000e-01,,1.201405e+05,,-2.647059e+01,
17,,2.175400e+00,,6.223000e-01,,1.205240e+05,,-2.506219e+01,
18,,2.168100e+00,,6.174000e-01,,1.200485e+05,,-2.077987e+01,
19,,2.175400e+00,,6.125000e-01,,1.201290e+05,,-1.812975e+01,
20,,2.168100e+00,,6.174000e-01,,1.205588e+05,,-1.885417e+01,
21,,2.175400e+00,,6.125000e-01,,1.200715e+05,,-1.334870e+01,
22,,2.175400e+00,,6.125000e-01,,1.201992e+05,,-1.460910e+01,
23,,2.168100e+00,,6.076000e-01,,1.207323e+05,,-1.234425e+01,
24,,2.175400e+00,,6.076000e-01,,1.203616e+05,,-9.013000e+00,
