"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-01",
"Time","13:31:58",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1071,,1072,,1072,,1072,,
"Current",,1.883400e+00,,1.788500e+00,,1.471015e+04,,9.615986e+01,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.868800e+00,,1.754200e+00,,1.000650e+04,,-1.804235e+02,,
"Max",,2.036700e+00,,1.842400e+00,,1.997240e+04,,1.803820e+02,,
"Mean",,1.945968e+00,,1.788064e+00,,1.490275e+04,,1.336451e+01,,
"StdDev",,4.553010e-02,,1.722350e-02,,2.857789e+03,,1.057658e+02,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.868800e+00,,1.754200e+00,,1.000650e+04,,-1.804235e+02,,
"Long term Max",,2.036700e+00,,1.842400e+00,,1.998220e+04,,1.803820e+02,,
"Long term Mean",,1.946516e+00,,1.787520e+00,,1.498597e+04,,1.278660e+01,,
"Long term StdDev",,4.575640e-02,,1.720390e-02,,2.874290e+03,,1.074419e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.963700e+00,,1.813000e+00,,1.137087e+04,,-8.931586e+00,
2,,1.971000e+00,,1.813000e+00,,1.142337e+04,,-7.961690e+00,
3,,1.971000e+00,,1.808100e+00,,1.152501e+04,,-4.441084e+00,
4,,1.971000e+00,,1.813000e+00,,1.162766e+04,,-1.861919e+00,
5,,1.971000e+00,,1.813000e+00,,1.171104e+04,,1.864060e+00,
6,,1.963700e+00,,1.808100e+00,,1.183182e+04,,4.995457e+00,
7,,1.971000e+00,,1.813000e+00,,1.185448e+04,,6.179466e+00,
8,,1.963700e+00,,1.808100e+00,,1.196920e+04,,9.569297e+00,
9,,1.963700e+00,,1.813000e+00,,1.209777e+04,,1.259847e+01,
10,,1.956400e+00,,1.808100e+00,,1.217232e+04,,1.469016e+01,
11,,1.956400e+00,,1.808100e+00,,1.227888e+04,,1.790145e+01,
12,,1.949100e+00,,1.808100e+00,,1.237296e+04,,2.057407e+01,
13,,1.956400e+00,,1.808100e+00,,1.247175e+04,,2.300960e+01,
14,,1.949100e+00,,1.813000e+00,,1.253100e+04,,2.630163e+01,
15,,1.941800e+00,,1.808100e+00,,1.266824e+04,,2.991005e+01,
16,,1.927200e+00,,1.803200e+00,,1.282918e+04,,3.475816e+01,
17,,1.927200e+00,,1.803200e+00,,1.289790e+04,,3.706461e+01,
18,,1.919900e+00,,1.803200e+00,,1.298322e+04,,3.844153e+01,
19,,1.919900e+00,,1.803200e+00,,1.305639e+04,,4.187461e+01,
20,,1.905300e+00,,1.798300e+00,,1.316168e+04,,4.537134e+01,
21,,1.898000e+00,,1.798300e+00,,1.326220e+04,,4.875271e+01,
22,,1.898000e+00,,1.798300e+00,,1.333584e+04,,5.118752e+01,
23,,1.898000e+00,,1.798300e+00,,1.341946e+04,,5.395207e+01,
24,,1.890700e+00,,1.798300e+00,,1.352908e+04,,5.756478e+01,
25,,1.883400e+00,,1.798300e+00,,1.363500e+04,,6.092151e+01,
26,,1.876100e+00,,1.793400e+00,,1.375050e+04,,6.373441e+01,
27,,1.883400e+00,,1.798300e+00,,1.380864e+04,,6.639439e+01,
28,,1.868800e+00,,1.793400e+00,,1.392241e+04,,6.997194e+01,
29,,1.876100e+00,,1.793400e+00,,1.395186e+04,,7.099667e+01,
30,,1.868800e+00,,1.793400e+00,,1.406208e+04,,7.563808e+01,
31,,1.876100e+00,,1.793400e+00,,1.418912e+04,,7.810843e+01,
32,,1.876100e+00,,1.793400e+00,,1.427679e+04,,8.041757e+01,
33,,1.876100e+00,,1.793400e+00,,1.433421e+04,,8.329159e+01,
34,,1.876100e+00,,1.788500e+00,,1.447890e+04,,8.792035e+01,
35,,1.876100e+00,,1.788500e+00,,1.450338e+04,,9.040726e+01,
36,,1.883400e+00,,1.793400e+00,,1.461184e+04,,9.280685e+01,
37,,1.876100e+00,,1.788500e+00,,1.471155e+04,,9.643160e+01,
38,,1.890700e+00,,1.788500e+00,,1.482040e+04,,9.993457e+01,
39,,1.898000e+00,,1.788500e+00,,1.492524e+04,,1.029907e+02,
40,,1.890700e+00,,1.783600e+00,,1.500804e+04,,1.050983e+02,
41,,1.898000e+00,,1.788500e+00,,1.504512e+04,,1.068484e+02,
42,,1.912600e+00,,1.788500e+00,,1.519220e+04,,1.105863e+02,
43,,1.912600e+00,,1.788500e+00,,1.527804e+04,,1.157356e+02,
44,,1.919900e+00,,1.788500e+00,,1.532008e+04,,1.153088e+02,
45,,1.927200e+00,,1.778700e+00,,1.543560e+04,,1.186130e+02,
46,,1.927200e+00,,1.783600e+00,,1.551615e+04,,1.218947e+02,
47,,1.941800e+00,,1.778700e+00,,1.559103e+04,,1.255200e+02,
48,,1.949100e+00,,1.778700e+00,,1.574960e+04,,1.286885e+02,
49,,1.956400e+00,,1.778700e+00,,1.582920e+04,,1.317446e+02,
50,,1.956400e+00,,1.783600e+00,,1.586840e+04,,1.338260e+02,
51,,1.971000e+00,,1.783600e+00,,1.597524e+04,,1.361307e+02,
52,,1.978300e+00,,1.783600e+00,,1.609414e+04,,1.392464e+02,
53,,1.978300e+00,,1.778700e+00,,1.618050e+04,,1.415179e+02,
54,,1.985600e+00,,1.778700e+00,,1.625400e+04,,1.446044e+02,
55,,1.992900e+00,,1.778700e+00,,1.633355e+04,,1.462297e+02,
56,,2.000200e+00,,1.773800e+00,,1.640020e+04,,1.490621e+02,
57,,2.007500e+00,,1.778700e+00,,1.648944e+04,,1.517674e+02,
58,,2.007500e+00,,1.773800e+00,,1.663200e+04,,1.567013e+02,
59,,2.014800e+00,,1.773800e+00,,1.670490e+04,,1.578051e+02,
60,,2.014800e+00,,1.778700e+00,,1.678500e+04,,1.597261e+02,
61,,2.022100e+00,,1.773800e+00,,1.688292e+04,,1.638963e+02,
62,,2.022100e+00,,1.773800e+00,,1.696664e+04,,1.659125e+02,
63,,2.029400e+00,,1.778700e+00,,1.704668e+04,,1.685021e+02,
64,,2.022100e+00,,1.773800e+00,,1.719777e+04,,1.719938e+02,
65,,2.022100e+00,,1.773800e+00,,1.727856e+04,,1.750636e+02,
66,,2.029400e+00,,1.773800e+00,,1.734384e+04,,1.763037e+02,
67,,2.022100e+00,,1.773800e+00,,1.743861e+04,,-1.792260e+02,
68,,2.022100e+00,,1.778700e+00,,1.756601e+04,,-1.765237e+02,
69,,2.022100e+00,,1.773800e+00,,1.767150e+04,,-1.746043e+02,
70,,2.014800e+00,,1.773800e+00,,1.775700e+04,,-1.714237e+02,
71,,2.014800e+00,,1.773800e+00,,1.790100e+04,,-1.684516e+02,
72,,2.014800e+00,,1.773800e+00,,1.792701e+04,,-1.674335e+02,
73,,2.000200e+00,,1.773800e+00,,1.806428e+04,,-1.621696e+02,
74,,2.000200e+00,,1.773800e+00,,1.811602e+04,,-1.604411e+02,
75,,1.992900e+00,,1.773800e+00,,1.823364e+04,,-1.573375e+02,
76,,1.985600e+00,,1.768900e+00,,1.832328e+04,,-1.555813e+02,
77,,1.985600e+00,,1.768900e+00,,1.841589e+04,,-1.519570e+02,
78,,1.978300e+00,,1.764000e+00,,1.851903e+04,,-1.487629e+02,
79,,1.971000e+00,,1.768900e+00,,1.862924e+04,,-1.458805e+02,
80,,1.963700e+00,,1.768900e+00,,1.872164e+04,,-1.421529e+02,
81,,1.956400e+00,,1.764000e+00,,1.882328e+04,,-1.393678e+02,
82,,1.941800e+00,,1.764000e+00,,1.892337e+04,,-1.360982e+02,
