"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-02",
"Time","12:59:45",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,447,,447,,447,,447,,
"Current",,4.015000e+00,,4.003300e+00,,2.224584e+01,,5.916187e-02,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,4.007700e+00,,3.998400e+00,,2.035080e+01,,-1.029664e+00,,
"Max",,4.022300e+00,,4.008200e+00,,4.994676e+01,,9.917355e-01,,
"Mean",,4.014197e+00,,4.003496e+00,,3.540237e+01,,-1.655686e-02,,
"StdDev",,2.379800e-03,,1.117200e-03,,8.592124e+00,,2.766099e-01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,4.007700e+00,,3.998400e+00,,2.035080e+01,,-1.029664e+00,,
"Long term Max",,4.022300e+00,,4.008200e+00,,4.994676e+01,,9.917355e-01,,
"Long term Mean",,4.014197e+00,,4.003496e+00,,3.540237e+01,,-1.655686e-02,,
"Long term StdDev",,2.387100e-03,,1.117200e-03,,8.601752e+00,,2.769198e-01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,4.015000e+00,,4.003300e+00,,3.161366e+01,,6.311729e-02,
2,,4.015000e+00,,4.003300e+00,,3.282328e+01,,1.746937e-01,
3,,4.015000e+00,,4.003300e+00,,3.389931e+01,,-1.127113e-01,
4,,4.015000e+00,,4.003300e+00,,3.494176e+01,,1.626856e-01,
5,,4.015000e+00,,4.003300e+00,,3.612570e+01,,-3.847181e-01,
6,,4.015000e+00,,4.003300e+00,,3.718432e+01,,6.432106e-01,
7,,4.015000e+00,,4.003300e+00,,3.822120e+01,,-3.301354e-01,
8,,4.015000e+00,,4.003300e+00,,3.922240e+01,,-2.607562e-02,
9,,4.015000e+00,,4.003300e+00,,4.043042e+01,,0.000000e+00,
10,,4.015000e+00,,4.003300e+00,,4.167792e+01,,-1.662178e-01,
11,,4.015000e+00,,4.003300e+00,,4.287740e+01,,5.697104e-02,
12,,4.015000e+00,,4.003300e+00,,4.405860e+01,,-3.224756e-01,
13,,4.007700e+00,,4.003300e+00,,4.512424e+01,,-2.704056e-01,
14,,4.015000e+00,,4.003300e+00,,4.617717e+01,,1.228669e-01,
15,,4.015000e+00,,4.003300e+00,,4.720127e+01,,-6.273963e-02,
16,,4.015000e+00,,4.003300e+00,,4.839627e+01,,1.608723e-01,
17,,4.015000e+00,,4.003300e+00,,4.943862e+01,,-3.288873e-02,
18,,4.015000e+00,,4.003300e+00,,2.060020e+01,,9.589041e-02,
19,,4.015000e+00,,4.003300e+00,,2.187180e+01,,-1.894430e-01,
20,,4.015000e+00,,4.003300e+00,,2.281216e+01,,-2.429252e-01,
21,,4.015000e+00,,4.003300e+00,,2.370627e+01,,-3.469728e-01,
22,,4.015000e+00,,4.003300e+00,,2.494005e+01,,6.642066e-02,
23,,4.015000e+00,,4.008200e+00,,2.589006e+01,,-1.723973e-02,
