"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-01",
"Time","13:39:07",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1466,,1466,,1466,,1466,,
"Current",,1.956400e+00,,1.592500e+00,,3.892532e+04,,1.313728e+02,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.832300e+00,,1.577800e+00,,3.000285e+04,,-1.553260e+02,,
"Max",,2.160800e+00,,1.670900e+00,,3.996842e+04,,1.668079e+02,,
"Mean",,1.989535e+00,,1.620935e+00,,3.506824e+04,,8.983595e+00,,
"StdDev",,9.999540e-02,,2.137380e-02,,2.866522e+03,,9.040372e+01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.832300e+00,,1.577800e+00,,3.000224e+04,,-1.553980e+02,,
"Long term Max",,2.160800e+00,,1.670900e+00,,3.996842e+04,,1.668079e+02,,
"Long term Mean",,1.988710e+00,,1.621248e+00,,3.500848e+04,,7.171433e+00,,
"Long term StdDev",,1.007327e-01,,2.159430e-02,,2.889484e+03,,9.116979e+01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.102400e+00,,1.617000e+00,,3.581730e+04,,2.943694e+01,
2,,2.095100e+00,,1.617000e+00,,3.585963e+04,,3.025818e+01,
3,,2.087800e+00,,1.612100e+00,,3.594344e+04,,3.403170e+01,
4,,2.073200e+00,,1.612100e+00,,3.608124e+04,,3.580283e+01,
5,,2.065900e+00,,1.612100e+00,,3.610152e+04,,3.855658e+01,
6,,2.058600e+00,,1.612100e+00,,3.621540e+04,,4.220575e+01,
7,,2.051300e+00,,1.617000e+00,,3.625942e+04,,4.248292e+01,
8,,2.036700e+00,,1.612100e+00,,3.634422e+04,,4.452940e+01,
9,,2.029400e+00,,1.612100e+00,,3.647195e+04,,4.913491e+01,
10,,2.029400e+00,,1.617000e+00,,3.652230e+04,,5.146163e+01,
11,,2.014800e+00,,1.612100e+00,,3.661848e+04,,5.404425e+01,
12,,2.000200e+00,,1.607200e+00,,3.672162e+04,,5.677427e+01,
13,,2.000200e+00,,1.617000e+00,,3.674862e+04,,5.807203e+01,
14,,1.985600e+00,,1.612100e+00,,3.687660e+04,,6.142452e+01,
15,,1.978300e+00,,1.612100e+00,,3.690036e+04,,6.306415e+01,
16,,1.971000e+00,,1.612100e+00,,3.700895e+04,,6.778653e+01,
17,,1.963700e+00,,1.612100e+00,,3.710685e+04,,6.993175e+01,
18,,1.956400e+00,,1.607200e+00,,3.716405e+04,,7.244609e+01,
19,,1.941800e+00,,1.607200e+00,,3.725176e+04,,7.630762e+01,
20,,1.949100e+00,,1.607200e+00,,3.730888e+04,,7.801325e+01,
21,,1.941800e+00,,1.612100e+00,,3.741864e+04,,8.036638e+01,
22,,1.927200e+00,,1.607200e+00,,3.750264e+04,,8.385811e+01,
23,,1.934500e+00,,1.607200e+00,,3.756256e+04,,8.662223e+01,
24,,1.927200e+00,,1.612100e+00,,3.766332e+04,,8.812477e+01,
