"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-01",
"Time","13:41:25",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1174,,1174,,1174,,1174,,
"Current",,2.131600e+00,,1.533700e+00,,4.501008e+04,,-3.135956e+01,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,2.029400e+00,,1.479800e+00,,3.997107e+04,,-1.797617e+02,,
"Max",,2.277600e+00,,1.587600e+00,,4.999563e+04,,1.800642e+02,,
"Mean",,2.133907e+00,,1.532485e+00,,4.489864e+04,,-2.437983e+01,,
"StdDev",,8.265790e-02,,3.245270e-02,,2.878704e+03,,9.402780e+01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,2.029400e+00,,1.479800e+00,,3.997107e+04,,-1.797617e+02,,
"Long term Max",,2.277600e+00,,1.587600e+00,,5.002398e+04,,1.800642e+02,,
"Long term Mean",,2.136936e+00,,1.531128e+00,,4.500951e+04,,-1.989968e+01,,
"Long term StdDev",,8.310320e-02,,3.251640e-02,,2.888010e+03,,9.391416e+01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.087800e+00,,1.568000e+00,,4.137732e+04,,-1.491624e+02,
2,,2.087800e+00,,1.568000e+00,,4.148487e+04,,-1.463086e+02,
3,,2.087800e+00,,1.563100e+00,,4.157595e+04,,-1.422237e+02,
4,,2.080500e+00,,1.568000e+00,,4.171440e+04,,-1.396968e+02,
5,,2.080500e+00,,1.568000e+00,,4.179490e+04,,-1.373246e+02,
6,,2.073200e+00,,1.568000e+00,,4.195170e+04,,-1.347901e+02,
7,,2.073200e+00,,1.563100e+00,,4.200857e+04,,-1.311280e+02,
8,,2.073200e+00,,1.563100e+00,,4.208880e+04,,-1.278174e+02,
9,,2.065900e+00,,1.568000e+00,,4.224429e+04,,-1.243380e+02,
10,,2.065900e+00,,1.568000e+00,,4.227766e+04,,-1.206214e+02,
11,,2.058600e+00,,1.563100e+00,,4.231584e+04,,-1.198696e+02,
12,,2.058600e+00,,1.563100e+00,,4.245984e+04,,-1.160994e+02,
13,,2.051300e+00,,1.563100e+00,,4.255776e+04,,-1.132328e+02,
14,,2.051300e+00,,1.563100e+00,,4.266193e+04,,-1.100880e+02,
15,,2.044000e+00,,1.563100e+00,,4.277946e+04,,-1.063287e+02,
16,,2.044000e+00,,1.558200e+00,,4.287116e+04,,-1.043204e+02,
17,,2.036700e+00,,1.563100e+00,,4.290668e+04,,-1.016568e+02,
18,,2.036700e+00,,1.558200e+00,,4.305024e+04,,-9.751990e+01,
19,,2.036700e+00,,1.558200e+00,,4.307540e+04,,-9.531707e+01,
20,,2.036700e+00,,1.558200e+00,,4.322925e+04,,-9.233895e+01,
21,,2.036700e+00,,1.558200e+00,,4.332150e+04,,-8.782982e+01,
22,,2.036700e+00,,1.558200e+00,,4.339350e+04,,-8.512635e+01,
23,,2.036700e+00,,1.553300e+00,,4.350544e+04,,-8.103847e+01,
24,,2.044000e+00,,1.558200e+00,,4.353432e+04,,-8.024142e+01,
25,,2.044000e+00,,1.553300e+00,,4.363844e+04,,-7.653147e+01,
26,,2.044000e+00,,1.553300e+00,,4.370304e+04,,-7.366303e+01,
27,,2.051300e+00,,1.553300e+00,,4.379606e+04,,-7.211364e+01,
28,,2.051300e+00,,1.548400e+00,,4.389924e+04,,-6.831988e+01,
29,,2.058600e+00,,1.548400e+00,,4.398933e+04,,-6.486395e+01,
30,,2.058600e+00,,1.548400e+00,,4.411056e+04,,-6.001695e+01,
31,,2.065900e+00,,1.543500e+00,,4.413240e+04,,-6.022012e+01,
32,,2.065900e+00,,1.543500e+00,,4.424628e+04,,-5.633729e+01,
33,,2.073200e+00,,1.543500e+00,,4.435613e+04,,-5.363930e+01,
34,,2.080500e+00,,1.538600e+00,,4.442407e+04,,-4.955492e+01,
35,,2.087800e+00,,1.538600e+00,,4.459520e+04,,-4.701066e+01,
36,,2.095100e+00,,1.538600e+00,,4.468400e+04,,-4.286388e+01,
37,,2.102400e+00,,1.533700e+00,,4.475520e+04,,-4.143477e+01,
38,,2.109700e+00,,1.533700e+00,,4.481600e+04,,-3.835357e+01,
39,,2.124300e+00,,1.533700e+00,,4.491774e+04,,-3.377787e+01,
40,,2.131600e+00,,1.533700e+00,,4.500522e+04,,-3.114102e+01,
41,,2.138900e+00,,1.528800e+00,,4.509108e+04,,-3.012242e+01,
42,,2.146200e+00,,1.528800e+00,,4.518856e+04,,-2.767029e+01,
43,,2.160800e+00,,1.528800e+00,,4.528040e+04,,-2.330729e+01,
44,,2.168100e+00,,1.523900e+00,,4.531648e+04,,-2.113188e+01,
45,,2.182700e+00,,1.523900e+00,,4.543669e+04,,-1.764655e+01,
46,,2.182700e+00,,1.523900e+00,,4.551471e+04,,-1.658171e+01,
47,,2.190000e+00,,1.523900e+00,,4.562178e+04,,-1.312070e+01,
48,,2.204600e+00,,1.519000e+00,,4.578000e+04,,-9.087123e+00,
49,,2.204600e+00,,1.519000e+00,,4.579680e+04,,-7.551065e+00,
50,,2.219200e+00,,1.519000e+00,,4.593288e+04,,-3.830351e+00,
51,,2.226500e+00,,1.519000e+00,,4.601305e+04,,-1.588294e-01,
