"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-01",
"Time","13:46:13",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1203,,1203,,1204,,1204,,
"Current",,2.292200e+00,,1.293600e+00,,6.991026e+04,,7.239032e+01,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,2.029400e+00,,1.293600e+00,,5.998972e+04,,-1.797658e+02,,
"Max",,2.336000e+00,,1.396500e+00,,7.000140e+04,,1.800722e+02,,
"Mean",,2.167480e+00,,1.347422e+00,,6.508286e+04,,-1.268447e+00,,
"StdDev",,1.041053e-01,,2.217250e-02,,2.892458e+03,,1.062842e+02,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,2.029400e+00,,1.293600e+00,,5.998972e+04,,-1.801986e+02,,
"Long term Max",,2.336000e+00,,1.396500e+00,,7.000140e+04,,1.800722e+02,,
"Long term Mean",,2.168728e+00,,1.347701e+00,,6.503796e+04,,-1.212309e+00,,
"Long term StdDev",,1.045944e-01,,2.220680e-02,,2.897334e+03,,1.071290e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.080500e+00,,1.332800e+00,,6.745387e+04,,-1.130839e+01,
2,,2.087800e+00,,1.332800e+00,,6.759776e+04,,-8.191547e+00,
3,,2.087800e+00,,1.332800e+00,,6.760264e+04,,-6.217314e+00,
4,,2.095100e+00,,1.332800e+00,,6.773440e+04,,-5.858104e-01,
5,,2.095100e+00,,1.332800e+00,,6.783942e+04,,2.566531e+00,
6,,2.109700e+00,,1.327900e+00,,6.792675e+04,,5.541474e+00,
7,,2.117000e+00,,1.327900e+00,,6.805368e+04,,8.978925e+00,
8,,2.124300e+00,,1.323000e+00,,6.809460e+04,,1.123095e+01,
9,,2.131600e+00,,1.323000e+00,,6.818140e+04,,1.425743e+01,
10,,2.138900e+00,,1.323000e+00,,6.836000e+04,,2.159567e+01,
11,,2.138900e+00,,1.323000e+00,,6.838000e+04,,2.146753e+01,
12,,2.146200e+00,,1.318100e+00,,6.851250e+04,,2.648480e+01,
13,,2.160800e+00,,1.318100e+00,,6.857375e+04,,2.921802e+01,
14,,2.160800e+00,,1.318100e+00,,6.875820e+04,,3.390560e+01,
15,,2.175400e+00,,1.313200e+00,,6.879096e+04,,3.397757e+01,
16,,2.182700e+00,,1.313200e+00,,6.885396e+04,,3.782271e+01,
17,,2.197300e+00,,1.308300e+00,,6.889115e+04,,4.109698e+01,
18,,2.204600e+00,,1.308300e+00,,6.902704e+04,,4.416483e+01,
19,,2.211900e+00,,1.308300e+00,,6.914592e+04,,4.761547e+01,
20,,2.226500e+00,,1.308300e+00,,6.924480e+04,,5.161390e+01,
21,,2.233800e+00,,1.303400e+00,,6.934080e+04,,5.570120e+01,
22,,2.241100e+00,,1.303400e+00,,6.946267e+04,,5.808259e+01,
23,,2.255700e+00,,1.298500e+00,,6.954124e+04,,6.219895e+01,
24,,2.263000e+00,,1.298500e+00,,6.960332e+04,,6.304757e+01,
25,,2.270300e+00,,1.293600e+00,,6.967898e+04,,6.827309e+01,
26,,2.277600e+00,,1.293600e+00,,6.979053e+04,,6.906778e+01,
27,,2.182700e+00,,1.391600e+00,,6.990830e+04,,7.325371e+01,
28,,2.204600e+00,,1.386700e+00,,6.005280e+04,,1.006762e+02,
29,,2.219200e+00,,1.386700e+00,,6.008064e+04,,1.031294e+02,
30,,2.241100e+00,,1.381800e+00,,6.020014e+04,,1.068612e+02,
31,,2.255700e+00,,1.381800e+00,,6.028550e+04,,1.099730e+02,
32,,2.263000e+00,,1.381800e+00,,6.040578e+04,,1.116761e+02,
33,,2.270300e+00,,1.381800e+00,,6.051598e+04,,1.156346e+02,
34,,2.277600e+00,,1.376900e+00,,6.049932e+04,,1.166318e+02,
35,,2.292200e+00,,1.376900e+00,,6.064730e+04,,1.203092e+02,
36,,2.299500e+00,,1.376900e+00,,6.075020e+04,,1.241536e+02,
37,,2.306800e+00,,1.372000e+00,,6.085629e+04,,1.261399e+02,
38,,2.314100e+00,,1.372000e+00,,6.094737e+04,,1.286228e+02,
39,,2.321400e+00,,1.372000e+00,,6.104043e+04,,1.309792e+02,
40,,2.328700e+00,,1.372000e+00,,6.115300e+04,,1.356100e+02,
41,,2.328700e+00,,1.367100e+00,,6.127300e+04,,1.377015e+02,
42,,2.328700e+00,,1.372000e+00,,6.136100e+04,,1.408565e+02,
43,,2.328700e+00,,1.367100e+00,,6.136500e+04,,1.426101e+02,
44,,2.336000e+00,,1.362200e+00,,6.147062e+04,,1.445379e+02,
45,,2.336000e+00,,1.362200e+00,,6.157970e+04,,1.481330e+02,
46,,2.328700e+00,,1.367100e+00,,6.169776e+04,,1.506592e+02,
47,,2.328700e+00,,1.362200e+00,,6.179670e+04,,1.554533e+02,
48,,2.328700e+00,,1.362200e+00,,6.188544e+04,,1.563721e+02,
49,,2.321400e+00,,1.362200e+00,,6.199982e+04,,1.599483e+02,
50,,2.314100e+00,,1.362200e+00,,6.211724e+04,,1.621080e+02,
51,,2.306800e+00,,1.357300e+00,,6.217698e+04,,1.660641e+02,
52,,2.299500e+00,,1.362200e+00,,6.230120e+04,,1.683724e+02,
53,,2.299500e+00,,1.357300e+00,,6.239792e+04,,1.724640e+02,
54,,2.292200e+00,,1.357300e+00,,6.246136e+04,,1.718990e+02,
55,,2.284900e+00,,1.357300e+00,,6.258720e+04,,1.760692e+02,
56,,2.277600e+00,,1.362200e+00,,6.266295e+04,,-1.797658e+02,
57,,2.263000e+00,,1.362200e+00,,6.275010e+04,,-1.774711e+02,
58,,2.248400e+00,,1.362200e+00,,6.279420e+04,,-1.743051e+02,
59,,2.241100e+00,,1.357300e+00,,6.295128e+04,,-1.718396e+02,
60,,2.233800e+00,,1.357300e+00,,6.305198e+04,,-1.680133e+02,
61,,2.219200e+00,,1.357300e+00,,6.310286e+04,,-1.655571e+02,
62,,2.211900e+00,,1.357300e+00,,6.324235e+04,,-1.638648e+02,
63,,2.197300e+00,,1.357300e+00,,6.332581e+04,,-1.589710e+02,
64,,2.197300e+00,,1.357300e+00,,6.337824e+04,,-1.570440e+02,
65,,2.182700e+00,,1.357300e+00,,6.344993e+04,,-1.553446e+02,
66,,2.168100e+00,,1.357300e+00,,6.359256e+04,,-1.528619e+02,
67,,2.160800e+00,,1.357300e+00,,6.371676e+04,,-1.488738e+02,
68,,2.153500e+00,,1.357300e+00,,6.369084e+04,,-1.473593e+02,
69,,2.138900e+00,,1.362200e+00,,6.379225e+04,,-1.436025e+02,
70,,2.131600e+00,,1.357300e+00,,6.388054e+04,,-1.397336e+02,
71,,2.117000e+00,,1.357300e+00,,6.399608e+04,,-1.364189e+02,
72,,2.109700e+00,,1.357300e+00,,6.409810e+04,,-1.330154e+02,
73,,2.102400e+00,,1.357300e+00,,6.420920e+04,,-1.305283e+02,
74,,2.095100e+00,,1.357300e+00,,6.429390e+04,,-1.277031e+02,
75,,2.080500e+00,,1.357300e+00,,6.432910e+04,,-1.233581e+02,
76,,2.080500e+00,,1.357300e+00,,6.448878e+04,,-1.206371e+02,
77,,2.073200e+00,,1.357300e+00,,6.453651e+04,,-1.174451e+02,
78,,2.065900e+00,,1.357300e+00,,6.461421e+04,,-1.149091e+02,
79,,2.058600e+00,,1.357300e+00,,6.467888e+04,,-1.121831e+02,
80,,2.051300e+00,,1.357300e+00,,6.481552e+04,,-1.081736e+02,
81,,2.051300e+00,,1.357300e+00,,6.492528e+04,,-1.046734e+02,
82,,2.051300e+00,,1.357300e+00,,6.491184e+04,,-1.034263e+02,
83,,2.044000e+00,,1.352400e+00,,6.504958e+04,,-9.923798e+01,
84,,2.036700e+00,,1.357300e+00,,6.513433e+04,,-9.569975e+01,
85,,2.036700e+00,,1.352400e+00,,6.523603e+04,,-9.188975e+01,
86,,2.036700e+00,,1.352400e+00,,6.535848e+04,,-8.826914e+01,
87,,2.036700e+00,,1.352400e+00,,6.538584e+04,,-8.614709e+01,
88,,2.029400e+00,,1.352400e+00,,6.547704e+04,,-8.284890e+01,
89,,2.029400e+00,,1.352400e+00,,6.557645e+04,,-7.917662e+01,
90,,2.029400e+00,,1.352400e+00,,6.560865e+04,,-7.786538e+01,
91,,2.029400e+00,,1.352400e+00,,6.571100e+04,,-7.425958e+01,
92,,2.029400e+00,,1.347500e+00,,6.583928e+04,,-7.094073e+01,
93,,2.029400e+00,,1.347500e+00,,6.591236e+04,,-6.853612e+01,
94,,2.029400e+00,,1.352400e+00,,6.604924e+04,,-6.429319e+01,
95,,2.029400e+00,,1.347500e+00,,6.610500e+04,,-6.096267e+01,
96,,2.036700e+00,,1.347500e+00,,6.622668e+04,,-5.764880e+01,
97,,2.036700e+00,,1.347500e+00,,6.631677e+04,,-5.348234e+01,
98,,2.036700e+00,,1.342600e+00,,6.637972e+04,,-4.889737e+01,
99,,2.036700e+00,,1.342600e+00,,6.648710e+04,,-4.645346e+01,
100,,2.044000e+00,,1.347500e+00,,6.654492e+04,,-4.450149e+01,
101,,2.044000e+00,,1.342600e+00,,6.664050e+04,,-4.107112e+01,
102,,2.051300e+00,,1.342600e+00,,6.673877e+04,,-3.755167e+01,
103,,2.058600e+00,,1.342600e+00,,6.683635e+04,,-3.355720e+01,
104,,2.051300e+00,,1.342600e+00,,6.696960e+04,,-3.035982e+01,
105,,2.058600e+00,,1.337700e+00,,6.699480e+04,,-2.787781e+01,
106,,2.065900e+00,,1.337700e+00,,6.711720e+04,,-2.450252e+01,
107,,2.065900e+00,,1.337700e+00,,6.723244e+04,,-2.144079e+01,
108,,2.073200e+00,,1.337700e+00,,6.732077e+04,,-1.821607e+01,
109,,2.073200e+00,,1.337700e+00,,6.737038e+04,,-1.575484e+01,
110,,2.080500e+00,,1.332800e+00,,6.747807e+04,,-1.263566e+01,
111,,2.087800e+00,,1.332800e+00,,6.752578e+04,,-8.941075e+00,
112,,2.087800e+00,,1.332800e+00,,6.763924e+04,,-5.401072e+00,
113,,2.095100e+00,,1.332800e+00,,6.764046e+04,,-3.034855e+00,
114,,2.102400e+00,,1.332800e+00,,6.780375e+04,,1.171811e+00,
115,,2.109700e+00,,1.327900e+00,,6.788985e+04,,5.253906e+00,
116,,2.109700e+00,,1.327900e+00,,6.805616e+04,,8.406728e+00,
117,,2.117000e+00,,1.327900e+00,,6.809336e+04,,1.156233e+01,
118,,2.124300e+00,,1.327900e+00,,6.814792e+04,,1.194053e+01,
119,,2.131600e+00,,1.327900e+00,,6.826076e+04,,1.675286e+01,
120,,2.138900e+00,,1.323000e+00,,6.835625e+04,,2.038813e+01,
121,,2.146200e+00,,1.323000e+00,,6.840250e+04,,2.361821e+01,
122,,2.153500e+00,,1.318100e+00,,6.853500e+04,,2.657824e+01,
123,,2.160800e+00,,1.318100e+00,,6.862842e+04,,2.924109e+01,
124,,2.168100e+00,,1.318100e+00,,6.871032e+04,,3.323717e+01,
125,,2.175400e+00,,1.313200e+00,,6.882246e+04,,3.573682e+01,
126,,2.190000e+00,,1.313200e+00,,6.887286e+04,,3.941345e+01,
127,,2.197300e+00,,1.313200e+00,,6.900799e+04,,4.286473e+01,
128,,2.204600e+00,,1.308300e+00,,6.910324e+04,,4.562960e+01,
129,,2.211900e+00,,1.308300e+00,,6.919104e+04,,5.027989e+01,
130,,2.226500e+00,,1.308300e+00,,6.927264e+04,,5.205395e+01,
131,,2.233800e+00,,1.303400e+00,,6.938016e+04,,5.524010e+01,
132,,2.248400e+00,,1.303400e+00,,6.944928e+04,,5.904857e+01,
133,,2.255700e+00,,1.298500e+00,,6.954900e+04,,6.100200e+01,
134,,2.263000e+00,,1.298500e+00,,6.964212e+04,,6.419987e+01,
135,,2.270300e+00,,1.293600e+00,,6.971584e+04,,6.659238e+01,
