"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-02-01",
"Time","13:48:30",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1243,,1243,,1243,,1243,,
"Current",,1.934500e+00,,1.239700e+00,,7.671888e+04,,-5.201916e+01,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.912600e+00,,1.205400e+00,,6.999878e+04,,-1.798627e+02,,
"Max",,2.372500e+00,,1.293600e+00,,8.000046e+04,,1.796833e+02,,
"Mean",,2.086267e+00,,1.242655e+00,,7.501561e+04,,2.056454e+00,,
"StdDev",,1.738422e-01,,1.788010e-02,,2.840490e+03,,1.067304e+02,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.912600e+00,,1.205400e+00,,6.999878e+04,,-1.798627e+02,,
"Long term Max",,2.372500e+00,,1.293600e+00,,8.000046e+04,,1.799789e+02,,
"Long term Mean",,2.090457e+00,,1.242616e+00,,7.496574e+04,,3.686172e+00,,
"Long term StdDev",,1.742364e-01,,1.771840e-02,,2.831516e+03,,1.082231e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.007500e+00,,1.239700e+00,,7.453317e+04,,-1.357996e+02,
2,,1.985600e+00,,1.239700e+00,,7.463973e+04,,-1.321549e+02,
3,,1.978300e+00,,1.239700e+00,,7.473200e+04,,-1.285791e+02,
4,,1.971000e+00,,1.239700e+00,,7.478800e+04,,-1.279665e+02,
5,,1.963700e+00,,1.244600e+00,,7.487200e+04,,-1.219233e+02,
6,,1.956400e+00,,1.239700e+00,,7.498512e+04,,-1.192938e+02,
7,,1.941800e+00,,1.244600e+00,,7.505121e+04,,-1.150658e+02,
8,,1.934500e+00,,1.239700e+00,,7.518455e+04,,-1.109110e+02,
9,,1.934500e+00,,1.244600e+00,,7.516647e+04,,-1.085618e+02,
10,,1.927200e+00,,1.244600e+00,,7.533804e+04,,-1.058887e+02,
11,,1.919900e+00,,1.244600e+00,,7.547370e+04,,-1.019164e+02,
12,,1.919900e+00,,1.244600e+00,,7.557402e+04,,-9.763412e+01,
13,,1.912600e+00,,1.244600e+00,,7.567115e+04,,-9.347077e+01,
14,,1.912600e+00,,1.244600e+00,,7.574245e+04,,-8.965701e+01,
15,,1.912600e+00,,1.244600e+00,,7.583560e+04,,-8.736017e+01,
16,,1.912600e+00,,1.244600e+00,,7.588620e+04,,-8.463127e+01,
17,,1.912600e+00,,1.239700e+00,,7.601480e+04,,-7.997811e+01,
18,,1.912600e+00,,1.244600e+00,,7.608092e+04,,-7.670080e+01,
19,,1.912600e+00,,1.244600e+00,,7.620968e+04,,-7.228528e+01,
20,,1.919900e+00,,1.239700e+00,,7.632963e+04,,-6.880801e+01,
21,,1.919900e+00,,1.239700e+00,,7.635888e+04,,-6.600955e+01,
22,,1.927200e+00,,1.239700e+00,,7.644663e+04,,-6.253407e+01,
23,,1.927200e+00,,1.239700e+00,,7.653087e+04,,-5.833966e+01,
24,,1.927200e+00,,1.239700e+00,,7.667640e+04,,-5.501441e+01,
25,,1.934500e+00,,1.239700e+00,,7.669292e+04,,-5.190718e+01,
26,,1.934500e+00,,1.244600e+00,,7.679912e+04,,-4.887308e+01,
