"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-30",
"Time","17:49:19",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,937,,937,,937,,937,,
"Current",,3.314200e+00,,9.800000e-02,,1.393627e+05,,1.476676e+02,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.846900e+00,,8.820000e-02,,2.273600e+03,,-1.811236e+02,,
"Max",,3.547800e+00,,1.852200e+00,,1.458766e+05,,1.801010e+02,,
"Mean",,2.266752e+00,,1.194135e+00,,7.399131e+04,,2.778676e+00,,
"StdDev",,4.054201e-01,,4.721199e-01,,4.076393e+04,,1.050106e+02,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.846900e+00,,8.820000e-02,,2.273600e+03,,-1.811236e+02,,
"Long term Max",,3.547800e+00,,1.852200e+00,,1.458766e+05,,1.801010e+02,,
"Long term Mean",,2.266752e+00,,1.194135e+00,,7.399131e+04,,2.778676e+00,,
"Long term StdDev",,4.056318e-01,,4.723796e-01,,4.078584e+04,,1.050691e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.963700e+00,,1.729700e+00,,2.124810e+04,,-5.627755e+01,
2,,2.109700e+00,,1.719900e+00,,2.280456e+04,,-9.848982e+00,
3,,2.146200e+00,,1.715000e+00,,2.422580e+04,,3.121339e+01,
4,,2.080500e+00,,1.700300e+00,,2.634852e+04,,9.486855e+01,
5,,2.058600e+00,,1.685600e+00,,2.777135e+04,,1.378560e+02,
6,,1.963700e+00,,1.670900e+00,,2.933568e+04,,-1.739013e+02,
7,,1.846900e+00,,1.646400e+00,,3.075075e+04,,-1.269370e+02,
8,,2.000200e+00,,1.621900e+00,,3.287034e+04,,-5.425280e+01,
9,,2.153500e+00,,1.607200e+00,,3.434592e+04,,-1.198023e+01,
10,,2.087800e+00,,1.607200e+00,,3.584139e+04,,3.178849e+01,
11,,1.949100e+00,,1.602300e+00,,3.726000e+04,,7.921415e+01,
12,,2.000200e+00,,1.577800e+00,,3.938432e+04,,1.513319e+02,
13,,2.087800e+00,,1.558200e+00,,4.094212e+04,,-1.606600e+02,
14,,2.044000e+00,,1.548400e+00,,4.306536e+04,,-9.357320e+01,
15,,2.058600e+00,,1.538600e+00,,4.391964e+04,,-6.526805e+01,
16,,2.226500e+00,,1.504300e+00,,4.589702e+04,,-1.190214e+00,
17,,2.277600e+00,,1.489600e+00,,4.745520e+04,,4.481566e+01,
18,,2.175400e+00,,1.479800e+00,,4.887520e+04,,8.830827e+01,
19,,1.956400e+00,,1.470000e+00,,5.099640e+04,,1.598036e+02,
20,,1.992900e+00,,1.460200e+00,,5.245054e+04,,-1.503018e+02,
21,,2.117000e+00,,1.450400e+00,,5.396600e+04,,-9.989627e+01,
22,,2.117000e+00,,1.430800e+00,,5.538285e+04,,-5.523052e+01,
23,,1.963700e+00,,1.421000e+00,,5.751108e+04,,1.780110e+01,
24,,2.007500e+00,,1.396500e+00,,5.850000e+04,,5.361702e+01,
25,,2.284900e+00,,1.362200e+00,,6.047482e+04,,1.198957e+02,
26,,2.328700e+00,,1.352400e+00,,6.189350e+04,,1.610808e+02,
27,,2.117000e+00,,1.342600e+00,,6.402188e+04,,-1.325560e+02,
28,,2.036700e+00,,1.337700e+00,,6.557690e+04,,-7.392151e+01,
29,,2.058600e+00,,1.332800e+00,,6.699564e+04,,-2.119691e+01,
30,,2.226500e+00,,1.293600e+00,,6.912584e+04,,5.469415e+01,
31,,2.328700e+00,,1.274000e+00,,7.012200e+04,,8.588710e+01,
32,,2.336000e+00,,1.234800e+00,,7.210212e+04,,1.479350e+02,
33,,2.131600e+00,,1.229900e+00,,7.349760e+04,,-1.684404e+02,
34,,1.927200e+00,,1.234800e+00,,7.562231e+04,,-8.659884e+01,
35,,1.941800e+00,,1.229900e+00,,7.662627e+04,,-4.762955e+01,
36,,1.956400e+00,,1.210300e+00,,7.860864e+04,,2.415379e+01,
37,,1.985600e+00,,1.195600e+00,,8.002540e+04,,7.890979e+01,
38,,2.233800e+00,,1.151500e+00,,8.214162e+04,,1.586777e+02,
39,,2.299500e+00,,1.122100e+00,,8.370511e+04,,-1.513127e+02,
40,,2.109700e+00,,1.107400e+00,,8.512280e+04,,-1.014519e+02,
41,,1.876100e+00,,1.097600e+00,,8.724170e+04,,-1.570470e+01,
42,,2.036700e+00,,1.092700e+00,,8.865983e+04,,4.413793e+01,
43,,2.080500e+00,,1.073100e+00,,9.021710e+04,,1.015903e+02,
44,,1.927200e+00,,1.053500e+00,,9.163875e+04,,1.551232e+02,
45,,2.036700e+00,,1.024100e+00,,9.376425e+04,,-1.132822e+02,
46,,2.168100e+00,,1.004500e+00,,9.531214e+04,,-5.154620e+01,
47,,2.248400e+00,,9.800000e-01,,9.673945e+04,,6.186716e+00,
48,,2.416300e+00,,9.408000e-01,,9.885440e+04,,9.042654e+01,
49,,2.467400e+00,,9.212000e-01,,1.002696e+05,,1.479500e+02,
50,,2.591500e+00,,8.771000e-01,,1.018319e+05,,-1.473128e+02,
51,,2.489300e+00,,8.624000e-01,,1.039517e+05,,-6.697257e+01,
52,,2.372500e+00,,8.575000e-01,,1.053669e+05,,-2.369620e+00,
53,,2.562300e+00,,8.183000e-01,,1.067855e+05,,6.224041e+01,
54,,2.533100e+00,,7.889000e-01,,1.090505e+05,,1.552276e+02,
55,,2.474700e+00,,7.742000e-01,,1.104650e+05,,-1.420952e+02,
56,,2.343300e+00,,7.448000e-01,,1.118853e+05,,-7.922705e+01,
57,,2.095100e+00,,7.399000e-01,,1.134121e+05,,-3.133841e+00,
58,,1.992900e+00,,7.105000e-01,,1.155646e+05,,1.071239e+02,
59,,2.029400e+00,,6.762000e-01,,1.169924e+05,,-1.755506e+02,
60,,2.263000e+00,,6.370000e-01,,1.184035e+05,,-1.011925e+02,
61,,2.146200e+00,,5.978000e-01,,1.199599e+05,,-1.781358e+01,
62,,2.584200e+00,,5.243000e-01,,1.220845e+05,,9.221571e+01,
63,,2.598800e+00,,5.243000e-01,,1.235030e+05,,1.592390e+02,
64,,2.423600e+00,,5.292000e-01,,1.249198e+05,,-1.175554e+02,
65,,2.664500e+00,,4.557000e-01,,1.271879e+05,,2.211679e+01,
66,,2.883500e+00,,4.116000e-01,,1.286027e+05,,1.060517e+02,
67,,3.022200e+00,,3.724000e-01,,1.300163e+05,,-1.721348e+02,
68,,3.044100e+00,,3.479000e-01,,1.315047e+05,,-8.562776e+01,
69,,3.080600e+00,,2.989000e-01,,1.329850e+05,,2.416880e+01,
70,,3.292300e+00,,2.156000e-01,,1.351130e+05,,1.660285e+02,
71,,3.131700e+00,,1.911000e-01,,1.365298e+05,,-9.496063e+01,
72,,3.153600e+00,,1.470000e-01,,1.380848e+05,,3.989383e+01,
73,,3.336100e+00,,8.820000e-02,,1.395053e+05,,1.485906e+02,
74,,3.547800e+00,,1.600000e+308,,1.416271e+05,,1.600000e+308,
75,,3.496700e+00,,1.600000e+308,,1.430454e+05,,1.600000e+308,
76,,3.496700e+00,,1.600000e+308,,1.453086e+05,,1.600000e+308,
77,,1.985600e+00,,1.832600e+00,,1.600000e+308,,1.600000e+308,
78,,1.905300e+00,,1.837500e+00,,3.969442e+03,,1.225675e+02,
79,,2.014800e+00,,1.827700e+00,,6.094110e+03,,-1.717827e+02,
80,,1.963700e+00,,1.817900e+00,,7.513184e+03,,-1.301084e+02,
81,,1.898000e+00,,1.817900e+00,,8.931615e+03,,-8.430165e+01,
82,,1.934500e+00,,1.803200e+00,,1.034554e+04,,-3.906728e+01,
83,,1.956400e+00,,1.798300e+00,,1.190651e+04,,7.036233e+00,
84,,1.883400e+00,,1.783600e+00,,1.402860e+04,,7.534658e+01,
