"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-30",
"Time","17:56:44",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,5126,,5126,,5126,,5126,,
"Current",,2.109700e+00,,1.445500e+00,,5.373839e+04,,-1.060134e+02,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.022000e-01,,1.617000e-01,,1.955640e+03,,-1.799651e+02,,
"Max",,2.277600e+00,,1.852200e+00,,5.983708e+04,,1.803580e+02,,
"Mean",,2.011858e+00,,1.629828e+00,,3.146007e+04,,1.179816e+00,,
"StdDev",,1.734772e-01,,1.782081e-01,,1.649199e+04,,1.031312e+02,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.022000e-01,,7.350000e-02,,1.931990e+03,,-1.811236e+02,,
"Long term Max",,3.547800e+00,,1.881600e+00,,1.458766e+05,,1.803580e+02,,
"Long term Mean",,2.107036e+00,,1.474528e+00,,4.715628e+04,,3.209917e+00,,
"Long term StdDev",,3.093959e-01,,3.858309e-01,,3.591464e+04,,1.046174e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.971000e+00,,1.597400e+00,,3.704250e+04,,7.147483e+01,
2,,1.934500e+00,,1.592500e+00,,3.762873e+04,,9.213548e+01,
3,,1.927200e+00,,1.587600e+00,,3.821920e+04,,1.125454e+02,
4,,1.949100e+00,,1.582700e+00,,3.879960e+04,,1.319196e+02,
5,,2.000200e+00,,1.572900e+00,,3.944032e+04,,1.538281e+02,
6,,2.044000e+00,,1.568000e+00,,4.002867e+04,,1.720415e+02,
7,,2.073200e+00,,1.563100e+00,,4.061706e+04,,-1.705965e+02,
8,,2.087800e+00,,1.553300e+00,,4.120086e+04,,-1.506499e+02,
9,,2.080500e+00,,1.553300e+00,,4.179210e+04,,-1.338443e+02,
10,,2.065900e+00,,1.553300e+00,,4.242805e+04,,-1.127473e+02,
11,,2.044000e+00,,1.548400e+00,,4.301460e+04,,-9.408416e+01,
12,,2.051300e+00,,1.538600e+00,,4.360265e+04,,-7.458167e+01,
13,,2.095100e+00,,1.523900e+00,,4.454097e+04,,-4.357814e+01,
14,,2.131600e+00,,1.519000e+00,,4.489802e+04,,-3.219828e+01,
15,,2.204600e+00,,1.509200e+00,,4.570943e+04,,-5.376675e+00,
16,,2.233800e+00,,1.504300e+00,,4.605980e+04,,4.850895e+00,
17,,2.277600e+00,,1.489600e+00,,4.692051e+04,,3.047276e+01,
18,,2.277600e+00,,1.484700e+00,,4.729366e+04,,4.094438e+01,
19,,2.241100e+00,,1.479800e+00,,4.811840e+04,,6.475179e+01,
20,,2.190000e+00,,1.474900e+00,,4.870281e+04,,8.235789e+01,
21,,2.131600e+00,,1.474900e+00,,4.928800e+04,,1.009777e+02,
22,,2.051300e+00,,1.470000e+00,,4.993390e+04,,1.221552e+02,
23,,1.992900e+00,,1.470000e+00,,5.051077e+04,,1.429141e+02,
24,,1.949100e+00,,1.470000e+00,,5.110350e+04,,1.629223e+02,
25,,1.956400e+00,,1.465100e+00,,5.168772e+04,,-1.746588e+02,
26,,1.992900e+00,,1.460200e+00,,5.233536e+04,,-1.531337e+02,
27,,2.044000e+00,,1.455300e+00,,5.291537e+04,,-1.317408e+02,
28,,2.087800e+00,,1.450400e+00,,5.350576e+04,,-1.133282e+02,
29,,2.131600e+00,,1.440600e+00,,5.408656e+04,,-9.577553e+01,
30,,2.138900e+00,,1.435700e+00,,5.473440e+04,,-7.650118e+01,
31,,2.117000e+00,,1.430800e+00,,5.532120e+04,,-5.839129e+01,
32,,2.073200e+00,,1.430800e+00,,5.590710e+04,,-3.778792e+01,
33,,1.992900e+00,,1.416100e+00,,5.678822e+04,,-8.406191e+00,
34,,1.956400e+00,,1.416100e+00,,5.742789e+04,,1.442387e+01,
35,,1.963700e+00,,1.406300e+00,,5.801808e+04,,3.654060e+01,
36,,2.022100e+00,,1.401400e+00,,5.860289e+04,,5.830700e+01,
37,,2.109700e+00,,1.386700e+00,,5.918496e+04,,7.861245e+01,
38,,2.204600e+00,,1.372000e+00,,5.983635e+04,,1.009529e+02,
39,,1.445400e+00,,1.386700e+00,,1.600000e+308,,1.600000e+308,
40,,2.044000e+00,,1.847300e+00,,1.600000e+308,,1.600000e+308,
41,,1.992900e+00,,1.852200e+00,,1.955898e+03,,5.591366e+01,
42,,1.934500e+00,,1.842400e+00,,2.539582e+03,,7.554094e+01,
43,,1.898000e+00,,1.842400e+00,,3.418184e+03,,1.030380e+02,
44,,1.905300e+00,,1.837500e+00,,3.769342e+03,,1.157120e+02,
45,,1.949100e+00,,1.832600e+00,,4.647864e+03,,1.439100e+02,
46,,1.985600e+00,,1.832600e+00,,5.234130e+03,,1.610811e+02,
