"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-30",
"Time","17:56:49",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,5126,,5126,,5126,,5126,,
"Current",,2.080500e+00,,1.695400e+00,,2.673543e+04,,1.066667e+02,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.022000e-01,,1.617000e-01,,1.955920e+03,,-1.799651e+02,,
"Max",,2.277600e+00,,1.852200e+00,,5.983703e+04,,1.803580e+02,,
"Mean",,2.011858e+00,,1.629828e+00,,3.146007e+04,,1.179816e+00,,
"StdDev",,1.734772e-01,,1.782081e-01,,1.649199e+04,,1.031312e+02,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.022000e-01,,7.350000e-02,,1.932000e+03,,-1.811236e+02,,
"Long term Max",,3.547800e+00,,1.881600e+00,,1.458768e+05,,1.803580e+02,,
"Long term Mean",,2.107036e+00,,1.474528e+00,,4.715628e+04,,3.209917e+00,,
"Long term StdDev",,3.093959e-01,,3.858309e-01,,3.591464e+04,,1.046174e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.898000e+00,,1.813000e+00,,8.862225e+03,,-8.736824e+01,
2,,1.905300e+00,,1.808100e+00,,9.449078e+03,,-6.824436e+01,
3,,1.927200e+00,,1.803200e+00,,1.009606e+04,,-4.616860e+01,
4,,1.956400e+00,,1.808100e+00,,1.091512e+04,,-2.138502e+01,
5,,1.963700e+00,,1.798300e+00,,1.150336e+04,,-3.856007e+00,
6,,1.956400e+00,,1.798300e+00,,1.214710e+04,,1.537673e+01,
7,,1.927200e+00,,1.798300e+00,,1.272931e+04,,3.318805e+01,
8,,1.905300e+00,,1.793400e+00,,1.331880e+04,,5.177042e+01,
9,,1.883400e+00,,1.783600e+00,,1.390368e+04,,7.109446e+01,
10,,1.890700e+00,,1.778700e+00,,1.451827e+04,,8.969240e+01,
11,,1.919900e+00,,1.778700e+00,,1.513876e+04,,1.102185e+02,
12,,1.956400e+00,,1.773800e+00,,1.572324e+04,,1.293436e+02,
13,,1.992900e+00,,1.768900e+00,,1.630944e+04,,1.477574e+02,
14,,2.022100e+00,,1.764000e+00,,1.689105e+04,,1.653377e+02,
15,,2.014800e+00,,1.764000e+00,,1.753335e+04,,-1.762802e+02,
16,,1.992900e+00,,1.759100e+00,,1.812608e+04,,-1.588916e+02,
17,,1.956400e+00,,1.759100e+00,,1.870680e+04,,-1.415374e+02,
18,,1.919900e+00,,1.749300e+00,,1.929200e+04,,-1.217070e+02,
19,,1.898000e+00,,1.744400e+00,,1.993573e+04,,-1.016057e+02,
20,,1.912600e+00,,1.739500e+00,,2.052461e+04,,-8.094591e+01,
21,,1.956400e+00,,1.734600e+00,,2.111274e+04,,-6.059514e+01,
22,,2.007500e+00,,1.724800e+00,,2.170579e+04,,-4.202874e+01,
23,,2.073200e+00,,1.724800e+00,,2.234178e+04,,-2.368117e+01,
