"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-30",
"Time","18:11:26",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,V,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,4765,,4765,,4765,,4765,,
"Current",,3.022200e+00,,3.773000e-01,,1.300016e+05,,-1.776449e+02,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.846900e+00,,3.626000e-01,,2.553810e+04,,-1.820250e+02,,
"Max",,3.029500e+00,,1.705200e+00,,1.300089e+05,,1.816843e+02,,
"Mean",,2.989080e+00,,4.143391e-01,,1.276252e+05,,-1.650200e+02,,
"StdDev",,1.567967e-01,,1.875181e-01,,1.392581e+04,,5.910213e+01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.898000e-01,,6.370000e-02,,2.013900e+03,,-1.872581e+02,,
"Long term Max",,3.547800e+00,,1.891400e+00,,1.458807e+05,,1.860484e+02,,
"Long term Mean",,2.418329e+00,,1.024850e+00,,8.527971e+04,,-3.347034e+01,,
"Long term StdDev",,4.812744e-01,,5.382356e-01,,4.319467e+04,,1.192844e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.168100e+00,,1.514100e+00,,4.322448e+04,,-8.781942e+01,
2,,2.270300e+00,,1.499400e+00,,4.521848e+04,,-2.218750e+01,
3,,2.255700e+00,,1.479800e+00,,4.664244e+04,,2.200134e+01,
4,,2.087800e+00,,1.474900e+00,,4.807120e+04,,6.294810e+01,
5,,1.956400e+00,,1.470000e+00,,4.964034e+04,,1.108286e+02,
6,,2.000200e+00,,1.460200e+00,,5.106528e+04,,1.613976e+02,
7,,2.117000e+00,,1.445500e+00,,5.248580e+04,,-1.489186e+02,
8,,2.087800e+00,,1.430800e+00,,5.391452e+04,,-1.002791e+02,
9,,1.956400e+00,,1.416100e+00,,5.576400e+04,,-4.389068e+01,
10,,2.190000e+00,,1.376900e+00,,5.762012e+04,,2.128765e+01,
11,,2.314100e+00,,1.357300e+00,,5.975648e+04,,9.747629e+01,
12,,2.255700e+00,,1.347500e+00,,6.075608e+04,,1.275963e+02,
13,,2.109700e+00,,1.347500e+00,,6.275397e+04,,-1.736432e+02,
14,,2.036700e+00,,1.342600e+00,,6.418204e+04,,-1.252222e+02,
15,,2.058600e+00,,1.327900e+00,,6.560817e+04,,-7.299748e+01,
16,,2.168100e+00,,1.303400e+00,,6.709230e+04,,-2.088975e+01,
17,,2.314100e+00,,1.278900e+00,,6.860755e+04,,3.623684e+01,
18,,3.014900e+00,,3.626000e-01,,7.003932e+04,,8.382234e+01,
19,,3.007600e+00,,3.724000e-01,,1.300005e+05,,-1.675359e+02,
20,,3.014900e+00,,3.822000e-01,,1.299995e+05,,-1.785402e+02,
21,,3.022200e+00,,3.773000e-01,,1.299974e+05,,-1.734750e+02,
22,,3.022200e+00,,3.724000e-01,,1.299995e+05,,-1.747092e+02,
23,,3.014900e+00,,3.724000e-01,,1.299995e+05,,-1.741500e+02,
24,,3.014900e+00,,3.773000e-01,,1.299995e+05,,-1.764045e+02,
