"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-30",
"Time","18:15:44",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,7239,,7239,,7239,,7239,,
"Current",,2.350600e+00,,1.264200e+00,,7.046625e+04,,2.584071e+01,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,4.015000e-01,,7.840000e-02,,2.015520e+03,,-1.795500e+02,,
"Max",,3.547800e+00,,1.847300e+00,,1.457319e+05,,1.787594e+02,,
"Mean",,2.365185e+00,,1.081969e+00,,8.148519e+04,,-1.932787e+01,,
"StdDev",,4.651341e-01,,5.235454e-01,,4.280525e+04,,1.157344e+02,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.898000e-01,,6.370000e-02,,2.013240e+03,,-1.872581e+02,,
"Long term Max",,3.547800e+00,,1.891400e+00,,1.458801e+05,,1.860484e+02,,
"Long term Mean",,2.471634e+00,,9.662065e-01,,8.929078e+04,,-4.622572e+01,,
"Long term StdDev",,4.895161e-01,,5.456591e-01,,4.318184e+04,,1.211682e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.131600e+00,,1.229900e+00,,7.358280e+04,,1.453463e+02,
2,,1.941800e+00,,1.229900e+00,,7.500438e+04,,-1.654192e+02,
3,,1.927200e+00,,1.229900e+00,,7.643732e+04,,-1.129132e+02,
4,,1.971000e+00,,1.220100e+00,,7.786989e+04,,-5.602343e+01,
5,,1.971000e+00,,1.205400e+00,,7.937856e+04,,-3.098802e+00,
6,,2.065900e+00,,1.176000e+00,,8.085935e+04,,5.415808e+01,
7,,2.255700e+00,,1.146600e+00,,8.228484e+04,,1.121860e+02,
8,,2.292200e+00,,1.122100e+00,,8.371382e+04,,1.642953e+02,
9,,2.102400e+00,,1.107400e+00,,8.513470e+04,,-1.504823e+02,
10,,1.868800e+00,,1.102500e+00,,8.670520e+04,,-1.027310e+02,
11,,1.956400e+00,,1.092700e+00,,8.812656e+04,,-3.958351e+01,
12,,2.073200e+00,,1.073100e+00,,9.026594e+04,,2.194750e+01,
13,,1.963700e+00,,1.058400e+00,,9.126642e+04,,1.003636e+02,
14,,1.978300e+00,,1.024100e+00,,9.326416e+04,,1.413158e+02,
15,,2.065900e+00,,1.019200e+00,,9.411460e+04,,-1.355844e+02,
16,,2.204600e+00,,9.898000e-01,,9.611316e+04,,-9.897968e+01,
17,,2.270300e+00,,9.751000e-01,,9.696804e+04,,-1.824885e+01,
18,,2.430900e+00,,9.359000e-01,,9.910640e+04,,1.707907e+01,
19,,2.482000e+00,,9.163000e-01,,1.005226e+05,,1.011641e+02,
20,,2.613400e+00,,8.722000e-01,,1.019572e+05,,1.593243e+02,
21,,2.562300e+00,,8.575000e-01,,1.035216e+05,,-1.431538e+02,
22,,2.365200e+00,,8.673000e-01,,1.049521e+05,,-8.641434e+01,
23,,2.496600e+00,,8.232000e-01,,1.063777e+05,,-2.068548e+01,
24,,2.635300e+00,,7.938000e-01,,1.078052e+05,,4.598876e+01,
25,,2.518500e+00,,7.889000e-01,,1.092282e+05,,1.031231e+02,
26,,2.467400e+00,,7.693000e-01,,1.107997e+05,,1.613858e+02,
27,,2.292200e+00,,7.448000e-01,,1.122237e+05,,-1.290494e+02,
28,,2.080500e+00,,7.399000e-01,,1.136417e+05,,-6.342672e+01,
29,,2.022100e+00,,7.203000e-01,,1.152167e+05,,7.847411e+00,
30,,1.985600e+00,,6.762000e-01,,1.166562e+05,,8.880531e+01,
31,,2.255700e+00,,6.321000e-01,,1.187899e+05,,1.704309e+02,
