"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-30",
"Time","18:16:47",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Frequency",,"Phase",,
"Source 1",,"C1",,"C2",,"C1",,"C1",,
"Source 2",,,,,,,,"C2",,
"Unit",,V,,,,Hz,,°,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,535,,535,,535,,535,,
"Current",,2.204600e+00,,7.448000e-01,,1.126462e+05,,-4.317666e+01,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,2.117000e-01,,7.840000e-02,,2.445170e+03,,-1.809747e+02,,
"Max",,3.547800e+00,,1.847300e+00,,1.455891e+05,,1.777170e+02,,
"Mean",,2.267365e+00,,1.202999e+00,,7.257307e+04,,-1.517256e+00,,
"StdDev",,4.448547e-01,,4.921952e-01,,4.242303e+04,,1.054835e+02,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,2.117000e-01,,7.840000e-02,,2.445170e+03,,-1.809747e+02,,
"Long term Max",,3.547800e+00,,1.847300e+00,,1.455891e+05,,1.777170e+02,,
"Long term Mean",,2.267365e+00,,1.202999e+00,,7.257307e+04,,-1.517256e+00,,
"Long term StdDev",,4.452708e-01,,4.926705e-01,,4.246319e+04,,1.055874e+02,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.547700e+00,,5.243000e-01,,1.237807e+05,,1.714591e+02,
2,,2.423600e+00,,5.194000e-01,,1.252040e+05,,-9.973558e+01,
3,,2.598800e+00,,4.802000e-01,,1.267755e+05,,-2.629337e+00,
4,,2.817800e+00,,4.214000e-01,,1.281998e+05,,8.352000e+01,
5,,2.993000e+00,,3.822000e-01,,1.296257e+05,,1.646163e+02,
6,,3.051400e+00,,3.479000e-01,,1.310510e+05,,-1.114663e+02,
7,,3.029500e+00,,3.136000e-01,,1.324724e+05,,-1.236641e+01,
8,,3.233900e+00,,2.548000e-01,,1.340410e+05,,9.057766e+01,
9,,3.292300e+00,,2.058000e-01,,1.354696e+05,,-1.775439e+02,
10,,3.080600e+00,,1.862000e-01,,1.368961e+05,,-6.220762e+01,
11,,3.182800e+00,,1.421000e-01,,1.383189e+05,,4.948207e+01,
12,,3.394500e+00,,7.840000e-02,,1.398872e+05,,-1.678068e+02,
13,,3.533200e+00,,1.600000e+308,,1.413110e+05,,1.600000e+308,
14,,3.511300e+00,,1.600000e+308,,1.427392e+05,,1.600000e+308,
15,,3.460200e+00,,1.600000e+308,,1.448776e+05,,1.600000e+308,
16,,2.409000e-01,,1.960000e-01,,1.600000e+308,,1.600000e+308,
17,,1.927200e+00,,1.842400e+00,,2.581536e+03,,7.680761e+01,
18,,1.898000e+00,,1.837500e+00,,3.439551e+03,,1.034559e+02,
19,,2.007500e+00,,1.827700e+00,,5.534207e+03,,1.728825e+02,
20,,2.014800e+00,,1.827700e+00,,6.294519e+03,,-1.670858e+02,
21,,1.912600e+00,,1.817900e+00,,8.426985e+03,,-1.005940e+02,
22,,1.912600e+00,,1.813000e+00,,9.856047e+03,,-5.597499e+01,
23,,1.963700e+00,,1.803200e+00,,1.127830e+04,,-9.636935e+00,
24,,1.927200e+00,,1.793400e+00,,1.285196e+04,,3.655002e+01,
25,,1.883400e+00,,1.778700e+00,,1.427988e+04,,8.342246e+01,
26,,1.949100e+00,,1.773800e+00,,1.570140e+04,,1.287690e+02,
27,,2.022100e+00,,1.764000e+00,,1.712816e+04,,1.713271e+02,
28,,1.956400e+00,,1.754200e+00,,1.869585e+04,,-1.427987e+02,
29,,1.898000e+00,,1.739500e+00,,2.012184e+04,,-9.441995e+01,
30,,2.007500e+00,,1.729700e+00,,2.168926e+04,,-4.319850e+01,
31,,2.146200e+00,,1.715000e+00,,2.372435e+04,,1.599727e+01,
32,,2.138900e+00,,1.710100e+00,,2.468466e+04,,4.504269e+01,
